product,side,thr,total,product_total,rc,size
VEV_5300,-1,0.75,972259.0,72691.0,0,94174
VEV_5300,-1,0.875,971654.0,72086.0,0,94175
VEV_5300,-1,1,971287.0,71719.0,0,94171
VEV_5300,-1,1.25,952375.0,52807.0,0,94174
VEV_5300,-1,1.5,949710.0,50142.0,0,94173
VEV_5300,1,0,977138.0,77570.0,0,94188
VEV_5300,1,0.25,976204.0,76636.0,0,94191
VEV_5300,1,0.5,973989.0,74421.0,0,94190
VEV_5300,1,0.625,972731.0,73163.0,0,94192
VEV_5300,1,0.75,970856.0,71288.0,0,94191
VEV_5300,1,0.875,968631.0,69063.0,0,94192
VEV_5300,1,1,968631.0,69063.0,0,94188
VEV_5300,1,1.25,946970.0,47402.0,0,94191
VEV_5300,1,1.5,944882.0,45314.0,0,94190
VEV_5400,-1,0,977138.0,10707.5,0,94189
VEV_5400,-1,0.25,976830.0,10399.5,0,94192
VEV_5400,-1,0.5,976183.5,9753.0,0,94191
VEV_5400,-1,0.75,975779.5,9349.0,0,94192
VEV_5400,-1,1,975531.0,9100.5,0,94189
VEV_5400,-1,1.25,971732.5,5302.0,0,94192
VEV_5400,1,0,977138.0,10707.5,0,94188
VEV_5400,1,0.25,977154.0,10723.5,0,94191
VEV_5400,1,0.5,976566.0,10135.5,0,94190
VEV_5400,1,0.75,975699.5,9269.0,0,94191
VEV_5400,1,1,975322.0,8891.5,0,94188
VEV_5400,1,1.25,973175.0,6744.5,0,94191
