variant_id,test_day,train_days,test_proxy_pnl,test_trade_count,test_hit_rate,threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip4_pos40_dh20_hi300_hc60,0,"1,2",42.92629837928783,42,0.6666666666666666,0.2,0.008,100,0.1,0.98,0.2,1.0,4,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip4_pos40_dh20_hi300_hc60,1,"0,2",67.4701865286804,79,0.569620253164557,0.2,0.008,100,0.1,0.98,0.2,1.0,4,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip4_pos40_dh20_hi300_hc60,2,"0,1",189.82796802327962,110,0.8181818181818182,0.2,0.008,100,0.1,0.98,0.2,1.0,4,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip1_pos20_dh20_hi300_hc60,0,"1,2",0.0,0,nan,0.5,0.008,100,0.1,0.98,0.5,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip1_pos20_dh20_hi300_hc60,1,"0,2",1.1882907334437398,1,1.0,0.5,0.008,100,0.1,0.98,0.5,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip1_pos20_dh20_hi300_hc60,2,"0,1",18.295255799515836,28,0.9285714285714286,0.5,0.008,100,0.1,0.98,0.5,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip1_pos40_dh20_hi300_hc60,0,"1,2",0.0,0,nan,0.5,0.008,100,0.1,0.98,0.5,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip1_pos40_dh20_hi300_hc60,1,"0,2",1.1882907334437398,1,1.0,0.5,0.008,100,0.1,0.98,0.5,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip1_pos40_dh20_hi300_hc60,2,"0,1",18.295255799515836,28,0.9285714285714286,0.5,0.008,100,0.1,0.98,0.5,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip2_pos20_dh20_hi300_hc60,0,"1,2",0.0,0,nan,0.5,0.008,100,0.1,0.98,0.5,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip2_pos20_dh20_hi300_hc60,1,"0,2",2.3765814668874796,1,1.0,0.5,0.008,100,0.1,0.98,0.5,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip2_pos20_dh20_hi300_hc60,2,"0,1",36.59051159903167,28,0.9285714285714286,0.5,0.008,100,0.1,0.98,0.5,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip2_pos40_dh20_hi300_hc60,0,"1,2",0.0,0,nan,0.5,0.008,100,0.1,0.98,0.5,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip2_pos40_dh20_hi300_hc60,1,"0,2",2.3765814668874796,1,1.0,0.5,0.008,100,0.1,0.98,0.5,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip2_pos40_dh20_hi300_hc60,2,"0,1",36.59051159903167,28,0.9285714285714286,0.5,0.008,100,0.1,0.98,0.5,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip4_pos20_dh20_hi300_hc60,0,"1,2",0.0,0,nan,0.5,0.008,100,0.1,0.98,0.5,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip4_pos20_dh20_hi300_hc60,1,"0,2",4.753162933774959,1,1.0,0.5,0.008,100,0.1,0.98,0.5,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip4_pos20_dh20_hi300_hc60,2,"0,1",60.06638326806116,28,0.9285714285714286,0.5,0.008,100,0.1,0.98,0.5,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip4_pos40_dh20_hi300_hc60,0,"1,2",0.0,0,nan,0.5,0.008,100,0.1,0.98,0.5,1.0,4,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip4_pos40_dh20_hi300_hc60,1,"0,2",4.753162933774959,1,1.0,0.5,0.008,100,0.1,0.98,0.5,1.0,4,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p5_m1_clip4_pos40_dh20_hi300_hc60,2,"0,1",60.06638326806116,28,0.9285714285714286,0.5,0.008,100,0.1,0.98,0.5,1.0,4,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip1_pos20_dh20_hi300_hc60,0,"1,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip1_pos20_dh20_hi300_hc60,1,"0,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip1_pos20_dh20_hi300_hc60,2,"0,1",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip1_pos40_dh20_hi300_hc60,0,"1,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip1_pos40_dh20_hi300_hc60,1,"0,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip1_pos40_dh20_hi300_hc60,2,"0,1",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip2_pos20_dh20_hi300_hc60,0,"1,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip2_pos20_dh20_hi300_hc60,1,"0,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip2_pos20_dh20_hi300_hc60,2,"0,1",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip2_pos40_dh20_hi300_hc60,0,"1,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip2_pos40_dh20_hi300_hc60,1,"0,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip2_pos40_dh20_hi300_hc60,2,"0,1",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip4_pos20_dh20_hi300_hc60,0,"1,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip4_pos20_dh20_hi300_hc60,1,"0,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip4_pos20_dh20_hi300_hc60,2,"0,1",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip4_pos40_dh20_hi300_hc60,0,"1,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,4,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip4_pos40_dh20_hi300_hc60,1,"0,2",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,4,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s1_m1_clip4_pos40_dh20_hi300_hc60,2,"0,1",0.0,0,nan,1.0,0.008,100,0.1,0.98,1.0,1.0,4,40,20,300,60
qpconv_a0p008_h100_l1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,0,"1,2",21.48939338399903,111,0.5855855855855856,0.1,0.008,100,1.0,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p008_h100_l1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,1,"0,2",25.73176324595551,186,0.5161290322580645,0.1,0.008,100,1.0,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p008_h100_l1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,2,"0,1",69.03660605694708,165,0.7212121212121212,0.1,0.008,100,1.0,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p008_h100_l1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,0,"1,2",21.48939338399903,111,0.5855855855855856,0.1,0.008,100,1.0,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h100_l1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,1,"0,2",25.73176324595551,186,0.5161290322580645,0.1,0.008,100,1.0,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h100_l1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,2,"0,1",69.03660605694708,165,0.7212121212121212,0.1,0.008,100,1.0,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h100_l1_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,0,"1,2",42.97878676799806,111,0.5855855855855856,0.1,0.008,100,1.0,0.98,0.1,1.0,2,20,20,300,60
