variant_id,proxy_pnl,day_0_proxy_pnl,day_1_proxy_pnl,day_2_proxy_pnl,min_day_proxy_pnl,positive_days,trade_count,unit_count,mean_hit_rate,threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p015_h400_l10_q0p98_s0p2_m1_clip1_pos20_dh20_hi300_hc60,160.91324399866016,24.015602365322017,54.58289143058696,82.31475020275118,24.015602365322017,3,320,320,0.680305421105075,0.2,0.015,400,10.0,0.98,0.2,1.0,1,20,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p2_m1_clip1_pos40_dh20_hi300_hc60,160.91324399866016,24.015602365322017,54.58289143058696,82.31475020275118,24.015602365322017,3,320,320,0.680305421105075,0.2,0.015,400,10.0,0.98,0.2,1.0,1,40,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p2_m1_clip1_pos20_dh20_hi300_hc60,160.3276174822785,23.52099667390343,54.150055371377434,82.65656543699764,23.52099667390343,3,331,331,0.665520116739629,0.2,0.008,400,1.0,0.98,0.2,1.0,1,20,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p2_m1_clip1_pos40_dh20_hi300_hc60,160.3276174822785,23.52099667390343,54.150055371377434,82.65656543699764,23.52099667390343,3,331,331,0.665520116739629,0.2,0.008,400,1.0,0.98,0.2,1.0,1,40,20,300,60
qpconv_a0p015_h100_l1_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,142.4089852307437,23.08570146352973,38.13591467729964,81.18736908991433,23.08570146352973,3,172,344,0.6880728891239203,0.2,0.015,100,1.0,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p015_h100_l1_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,142.4089852307437,23.08570146352973,38.13591467729964,81.18736908991433,23.08570146352973,3,172,344,0.6880728891239203,0.2,0.015,100,1.0,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p015_h100_l0p1_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,141.9206102234994,22.59732645628543,38.13591467729964,81.18736908991433,22.59732645628543,3,173,346,0.6813524590163934,0.2,0.015,100,0.1,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p015_h100_l0p1_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,141.9206102234994,22.59732645628543,38.13591467729964,81.18736908991433,22.59732645628543,3,173,346,0.6813524590163934,0.2,0.015,100,0.1,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p03_h100_l1_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,141.9206102234994,22.59732645628543,38.13591467729964,81.18736908991433,22.59732645628543,3,173,346,0.6813524590163934,0.2,0.03,100,1.0,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p03_h100_l1_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,141.9206102234994,22.59732645628543,38.13591467729964,81.18736908991433,22.59732645628543,3,173,346,0.6813524590163934,0.2,0.03,100,1.0,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p008_h100_l10_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,142.52582865546324,22.362112645825476,39.427381248314475,80.73633476132329,22.362112645825476,3,166,332,0.6877177388870158,0.2,0.008,100,10.0,0.98,0.2,1.0,2,20,20,300,60
