product,side,thr,total,product_total,rc,size,err
VEV_5300,-1,5,899572.0,9268.0,0,93906,
VEV_5300,1,0,963001.0,72697.0,0,93905,
VEV_5300,1,0.25,962033.0,71729.0,0,93908,
VEV_5300,1,0.5,959731.0,69427.0,0,93907,
VEV_5300,1,0.625,956253.0,65949.0,0,93909,
VEV_5300,1,0.75,953541.0,63237.0,0,93908,
VEV_5300,1,0.875,951095.0,60791.0,0,93909,
VEV_5300,1,1,951095.0,60791.0,0,93905,
VEV_5300,1,1.125,932123.0,41819.0,0,93909,
VEV_5300,1,1.25,932035.0,41731.0,0,93908,
VEV_5300,1,1.5,930307.0,40003.0,0,93907,
VEV_5300,1,1.75,927243.0,36939.0,0,93908,
VEV_5300,1,2,926641.0,36337.0,0,93905,
VEV_5300,1,2.25,913102.0,22798.0,0,93908,
VEV_5300,1,2.5,912760.0,22456.0,0,93907,
VEV_5300,1,3,911514.0,21210.0,0,93905,
VEV_5300,1,4,903753.0,13449.0,0,93905,
VEV_5300,1,5,900068.0,9764.0,0,93905,
VEV_5400,-1,0,963001.0,10425.5,0,93906,
VEV_5400,-1,0.25,962696.0,10120.5,0,93909,
VEV_5400,-1,0.5,961949.0,9373.5,0,93908,
VEV_5400,-1,0.625,961681.0,9105.5,0,93910,
VEV_5400,-1,0.75,961656.0,9080.5,0,93909,
VEV_5400,-1,0.875,961279.5,8704.0,0,93910,
VEV_5400,-1,1,961279.5,8704.0,0,93906,
VEV_5400,-1,1.125,957168.0,4592.5,0,93910,
VEV_5400,-1,1.25,957168.0,4592.5,0,93909,
VEV_5400,-1,1.5,956843.0,4267.5,0,93908,
VEV_5400,-1,1.75,956702.0,4126.5,0,93909,
VEV_5400,-1,2,956702.0,4126.5,0,93906,
VEV_5400,-1,2.25,955993.0,3417.5,0,93909,
VEV_5400,-1,2.5,955993.0,3417.5,0,93908,
VEV_5400,-1,3,955993.0,3417.5,0,93906,
VEV_5400,-1,4,955881.0,3305.5,0,93906,
VEV_5400,-1,5,955881.0,3305.5,0,93906,
VEV_5400,1,0,963001.0,10425.5,0,93905,
VEV_5400,1,0.25,962985.0,10409.5,0,93908,
VEV_5400,1,0.5,962587.0,10011.5,0,93907,
VEV_5400,1,0.625,962183.0,9607.5,0,93909,
VEV_5400,1,0.75,961856.0,9280.5,0,93908,
VEV_5400,1,0.875,961697.0,9121.5,0,93909,
VEV_5400,1,1,961697.0,9121.5,0,93905,
VEV_5400,1,1.125,959211.0,6635.5,0,93909,
VEV_5400,1,1.25,959211.0,6635.5,0,93908,
VEV_5400,1,1.5,958837.0,6261.5,0,93907,
VEV_5400,1,1.75,958794.0,6218.5,0,93908,
VEV_5400,1,2,958794.0,6218.5,0,93905,
VEV_5400,1,2.25,958160.0,5584.5,0,93908,
VEV_5400,1,2.5,958160.0,5584.5,0,93907,
VEV_5400,1,3,958160.0,5584.5,0,93905,
VEV_5400,1,4,957907.0,5331.5,0,93905,
VEV_5400,1,5,957907.0,5331.5,0,93905,
VEV_5500,-1,0,963001.0,202.0,0,93906,
VEV_5500,-1,0.25,963001.0,202.0,0,93909,
VEV_5500,-1,0.5,963001.0,202.0,0,93908,
VEV_5500,-1,0.625,963001.0,202.0,0,93910,
VEV_5500,-1,0.75,963001.0,202.0,0,93909,
VEV_5500,-1,0.875,963001.0,202.0,0,93910,
VEV_5500,-1,1,963001.0,202.0,0,93906,
VEV_5500,-1,1.125,962966.0,167.0,0,93910,
VEV_5500,-1,1.25,962966.0,167.0,0,93909,
VEV_5500,-1,1.5,962966.0,167.0,0,93908,
VEV_5500,-1,1.75,962966.0,167.0,0,93909,
VEV_5500,-1,2,962966.0,167.0,0,93906,
VEV_5500,-1,2.25,962966.0,167.0,0,93909,
VEV_5500,-1,2.5,962966.0,167.0,0,93908,
VEV_5500,-1,3,962966.0,167.0,0,93906,
VEV_5500,-1,4,962966.0,167.0,0,93906,
VEV_5500,-1,5,962966.0,167.0,0,93906,
VEV_5500,1,0,963001.0,202.0,0,93905,
VEV_5500,1,0.25,963001.0,202.0,0,93908,
VEV_5500,1,0.5,963001.0,202.0,0,93907,
