product,category,family,name,params,day_2,day_3,day_4,total_pnl,mean_pnl,day_stdev,positive_days,max_drawdown,turnover,edge,avg_spread,active_ticks,param_fragility,score
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,crossing_high_edge,GALAXY_SOUNDS_SOLAR_WINDS:static_fair,"{""threshold"": 7.98076, ""fair"": 10437.544, ""mult"": 0.6}",-4408.5,5185.5,673.5,1450.5,483.5,3919.0376369716073,2,12131.5,2970.0,458.7107385625778,13.301266666666667,29726,1178.0,-5132.634464031545
TRANSLATOR_GRAPHITE_MIST,translator,crossing_high_edge,TRANSLATOR_GRAPHITE_MIST:static_fair,"{""threshold"": 16.041780000000003, ""fair"": 10084.64, ""mult"": 1.8}",-5112.5,-718.0,9610.0,3779.5,1259.8333333333333,6171.000463638146,1,11522.5,5130.0,380.87371867815733,8.9121,29025,0.0,-5148.156968031462
PEBBLES_S,pebbles,crossing_high_edge,PEBBLES_S:static_fair,"{""threshold"": 16.172146666666666, ""fair"": 8932.357, ""mult"": 1.4}",10431.5,11250.5,-7390.0,14292.0,4764.0,8600.677386113259,2,21245.0,4070.0,676.5573093080444,11.551533333333333,29487,0.0,-5148.700300973619
SLEEP_POD_POLYESTER,sleep,participant_flow,SLEEP_POD_POLYESTER:flow_0.97,"{""threshold"": 5.14785, ""decay"": 0.97, ""mult"": 0.5}",-1902.5,-4581.0,-3984.0,-10467.5,-3489.1666666666665,1148.110210544073,0,4581.0,1340.0,5.960398240225644,10.2957,388,0.0,-5175.758303520313
ROBOT_DISHES,robot,participant_flow,ROBOT_DISHES:flow_0.9,"{""threshold"": 7.350266666666667, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.350266666666667,0,10365.0,-5182.5
PANEL_2X4,panel,basket_residual,PANEL_2X4:ridge_panel,"{""threshold"": 244.58719550055974, ""mult"": 0.6, ""resid_std"": 407.645}",6818.5,-5520.0,-418.5,880.0,293.3333333333333,5062.257440005288,1,10340.0,7110.0,463.2999878228441,9.8405,16819,0.0,-5193.114002670103
PANEL_1X2,panel,crossing_high_edge,PANEL_1X2:static_fair,"{""threshold"": 11.509766666666666, ""fair"": 8922.729, ""mult"": 1.0}",3855.0,4075.0,-6972.0,958.0,319.3333333333333,5156.533482442983,2,10687.5,2570.0,499.64853765625804,11.509766666666666,29605,0.0,-5216.173430254606
TRANSLATOR_ASTRO_BLACK,translator,basket_residual,TRANSLATOR_ASTRO_BLACK:ridge_translator,"{""threshold"": 347.2591006517203, ""mult"": 1.0, ""resid_std"": 347.259}",-4009.0,1859.5,-2491.5,-4641.0,-1547.0,2487.1514161117466,1,10185.0,3850.0,524.8274824701577,8.3664,10497,0.0,-5269.948420472635
OXYGEN_SHAKE_MORNING_BREATH,oxygen,participant_flow,OXYGEN_SHAKE_MORNING_BREATH:flow_0.99,"{""threshold"": 6.39145, ""decay"": 0.99, ""mult"": 0.5}",953.0,-4906.0,-3173.0,-7126.0,-2375.3333333333335,2457.5291566033466,1,6359.0,1460.0,7.626520696138247,12.7829,1374,0.0,-5270.807285125508
PEBBLES_M,pebbles,crossing_high_edge,PEBBLES_M:static_fair,"{""threshold"": 4.592315, ""fair"": 10263.243, ""mult"": 0.35}",-8286.0,10057.5,5842.5,7614.0,2538.0,7844.776956676334,2,13325.0,4170.0,575.573393234632,13.1209,29848,0.0,-5301.165021839617
OXYGEN_SHAKE_CHOCOLATE,oxygen,basket_residual,OXYGEN_SHAKE_CHOCOLATE:ridge_oxygen,"{""threshold"": 404.89297467251697, ""mult"": 1.0, ""resid_std"": 404.893}",3864.0,-5089.0,-2202.0,-3427.0,-1142.3333333333333,3731.0608262113456,1,8275.5,4400.0,618.0795678694953,12.185466666666667,9187,0.0,-5301.822870370708
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,crossing_high_edge,GALAXY_SOUNDS_SOLAR_WINDS:static_fair,"{""threshold"": 23.94228, ""fair"": 10437.544, ""mult"": 1.8}",-5162.5,2248.5,530.0,-2384.0,-794.6666666666666,3167.2055594096755,2,12165.0,3350.0,467.24274542923615,13.301266666666667,29149,0.0,-5346.6502802829555
PANEL_2X4,panel,crossing_high_edge,PANEL_2X4:static_fair,"{""threshold"": 9.8405, ""fair"": 11265.373, ""mult"": 1.0}",8806.5,6526.0,-8195.0,7137.5,2379.1666666666665,7534.804601905008,2,13905.0,3570.0,531.4365655067487,9.8405,29592,0.0,-5363.716324571589
TRANSLATOR_ECLIPSE_CHARCOAL,translator,participant_flow,TRANSLATOR_ECLIPSE_CHARCOAL:flow_0.97,"{""threshold"": 4.350216666666667, ""decay"": 0.97, ""mult"": 0.5}",-4239.0,-1810.0,-4671.5,-10720.5,-3573.5,1259.4213618430754,0,4742.0,2280.0,5.275574679440645,8.700433333333335,856,0.0,-5381.563885197999
PANEL_1X2,panel,crossing_high_edge,PANEL_1X2:static_fair,"{""threshold"": 16.11367333333333, ""fair"": 8922.729, ""mult"": 1.4}",4723.5,4260.5,-7115.0,1869.0,623.0,5474.8561777152345,2,10553.5,2390.0,501.824299310349,11.509766666666666,29457,631.0,-5404.876515514903
PANEL_1X2,panel,crossing_high_edge,PANEL_1X2:static_fair,"{""threshold"": 4.028418333333333, ""fair"": 8922.729, ""mult"": 0.35}",3841.5,3945.5,-7263.5,523.5,174.5,5259.631609406372,2,10747.0,2450.0,495.8676015691622,11.509766666666666,29864,0.0,-5437.760546114143
MICROCHIP_SQUARE,microchip,basket_residual,MICROCHIP_SQUARE:ridge_microchip,"{""threshold"": 1012.4697875413585, ""mult"": 1.4, ""resid_std"": 723.193}",3193.5,4808.5,-4979.5,3022.5,1007.5,4284.4823102291675,2,18005.0,4180.0,1275.3933319766434,11.7188,4979,0.0,-5453.653501648959
PANEL_1X2,panel,crossing_high_edge,PANEL_1X2:static_fair,"{""threshold"": 6.90586, ""fair"": 8922.729, ""mult"": 0.6}",4460.0,4267.0,-7489.0,1238.0,412.6666666666667,5587.877613389741,2,10946.0,2510.0,497.18052981961387,11.509766666666666,29775,0.0,-5453.833782036665
PEBBLES_S,pebbles,crossing_high_edge,PEBBLES_S:static_fair,"{""threshold"": 4.043036666666667, ""fair"": 8932.357, ""mult"": 0.35}",10945.5,11878.5,-7619.5,15204.5,5068.166666666667,8979.61715343267,2,21420.0,3830.0,670.885068305935,11.551533333333333,29880,686.5,-5464.774483064568
PEBBLES_S,pebbles,crossing_high_edge,PEBBLES_S:static_fair,"{""threshold"": 20.79276, ""fair"": 8932.357, ""mult"": 1.8}",11671.5,11335.0,-7477.5,15529.0,5176.333333333333,8948.665881323068,2,21245.0,4010.0,678.5719063098022,11.551533333333333,29349,1011.0,-5466.979489526661
PANEL_2X4,panel,crossing_high_edge,PANEL_2X4:static_fair,"{""threshold"": 17.7129, ""fair"": 11265.373, ""mult"": 1.8}",8376.0,7380.0,-8358.5,7397.5,2465.8333333333335,7664.752576277695,2,13825.0,3650.0,536.2983199488634,9.8405,29264,260.0,-5476.955841247168
ROBOT_DISHES,robot,participant_flow,ROBOT_DISHES:flow_0.97,"{""threshold"": 7.350266666666667, ""decay"": 0.97, ""mult"": 1.0}",-78.0,-1127.5,-176.0,-1381.5,-460.5,473.3340962435166,0,1127.5,140.0,7.708732111402279,7.350266666666667,25,8983.5,-5487.937162558286
UV_VISOR_RED,visor,basket_residual,UV_VISOR_RED:ridge_visor,"{""threshold"": 472.22515633782643, ""mult"": 1.4, ""resid_std"": 337.304}",2784.5,-1776.0,-1957.5,-949.0,-316.3333333333333,2193.8719323505543,1,7176.0,2100.0,646.2561158421356,14.039433333333333,4829,4549.5,-5490.100089361194
PANEL_2X4,panel,crossing_high_edge,PANEL_2X4:static_fair,"{""threshold"": 5.9043, ""fair"": 11265.373, ""mult"": 0.6}",9266.0,6221.5,-8415.0,7072.5,2357.5,7718.04432266793,2,13905.0,3690.0,529.0527575260246,9.8405,29769,0.0,-5506.648809734154
MICROCHIP_CIRCLE,microchip,participant_flow,MICROCHIP_CIRCLE:flow_0.99,"{""threshold"": 4.131083333333334, ""decay"": 0.99, ""mult"": 0.5}",-4583.0,1007.0,-4502.5,-8078.5,-2692.8333333333335,2616.383647114637,1,5531.5,1360.0,5.175928597712442,8.262166666666667,1599,0.0,-5524.262703957847
PANEL_2X4,panel,crossing_high_edge,PANEL_2X4:static_fair,"{""threshold"": 13.7767, ""fair"": 11265.373, ""mult"": 1.4}",8443.0,7318.5,-8555.0,7206.5,2402.1666666666665,7761.475421736657,2,13955.0,3610.0,533.6910434647779,9.8405,29437,69.0,-5533.27235746216
PEBBLES_L,pebbles,crossing_high_edge,PEBBLES_L:static_fair,"{""threshold"": 7.8123, ""fair"": 10174.111, ""mult"": 0.6}",7601.0,-3547.0,-1669.5,2384.5,794.8333333333334,4873.3410909650975,1,15220.0,6770.0,503.74817986170797,13.0205,29547,0.0,-5538.69837579398
OXYGEN_SHAKE_GARLIC,oxygen,passive_market_making,OXYGEN_SHAKE_GARLIC:passive_1.5,"{""threshold"": 7.5273, ""edge"": 1.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0546,0,11087.75,-5543.875
