name,path,returncode,total_pnl,stdout_tail,day_2,day_3,day_4,own_trades
pscale_pebbles_xl_0p75,research/round5/pebbles/generated_traders/pscale_pebbles_xl_0p75.py,0,423124.0,"    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/pscale_pebbles_xl_0p75.py --dataset round5 --products off --artifact-mode none`
trader: pscale_pebbles_xl_0p75.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    147966.00  runs/backtest-1777466603439-round5-day+2
D+3               3    10000         196    182772.00  runs/backtest-1777466603439-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466603439-round5-day+4
TOTAL             -    30000         502    423124.00  -
",147966.0,182772.0,92386.0,502.0
drop_pebbles_m_0,research/round5/pebbles/generated_traders/drop_pebbles_m_0.py,0,422722.0,"    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/drop_pebbles_m_0.py --dataset round5 --products off --artifact-mode none`
trader: drop_pebbles_m_0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         166    146464.00  runs/backtest-1777466461713-round5-day+2
D+3               3    10000         191    183913.00  runs/backtest-1777466461713-round5-day+3
D+4               4    10000         133     92345.00  runs/backtest-1777466461713-round5-day+4
TOTAL             -    30000         490    422722.00  -
",146464.0,183913.0,92345.0,490.0
shift_pebbles_xl_m25,research/round5/pebbles/generated_traders/shift_pebbles_xl_m25.py,0,422412.0,"    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 12.60s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/shift_pebbles_xl_m25.py --dataset round5 --products off --artifact-mode none`
trader: shift_pebbles_xl_m25.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    147790.00  runs/backtest-1777466698117-round5-day+2
D+3               3    10000         196    183152.00  runs/backtest-1777466698117-round5-day+3
D+4               4    10000         137     91470.00  runs/backtest-1777466698117-round5-day+4
TOTAL             -    30000         502    422412.00  -
",147790.0,183152.0,91470.0,502.0
shift_pebbles_xs_p25,research/round5/pebbles/generated_traders/shift_pebbles_xs_p25.py,0,422099.0,"    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/shift_pebbles_xs_p25.py --dataset round5 --products off --artifact-mode none`
trader: shift_pebbles_xs_p25.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    148718.00  runs/backtest-1777466631282-round5-day+2
D+3               3    10000         197    185702.00  runs/backtest-1777466631282-round5-day+3
D+4               4    10000         137     87679.00  runs/backtest-1777466631282-round5-day+4
TOTAL             -    30000         503    422099.00  -
",148718.0,185702.0,87679.0,503.0
shift_pebbles_m_m75,research/round5/pebbles/generated_traders/shift_pebbles_m_m75.py,0,421137.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/shift_pebbles_m_m75.py --dataset round5 --products off --artifact-mode none`
trader: shift_pebbles_m_m75.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         193    157290.00  runs/backtest-1777466632503-round5-day+2
D+3               3    10000         178    174894.00  runs/backtest-1777466632503-round5-day+3
D+4               4    10000         123     88953.00  runs/backtest-1777466632503-round5-day+4
TOTAL             -    30000         494    421137.00  -
",157290.0,174894.0,88953.0,494.0
drop_pebbles_xl_1,research/round5/pebbles/generated_traders/drop_pebbles_xl_1.py,0,420982.0,"    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 18.88s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/drop_pebbles_xl_1.py --dataset round5 --products off --artifact-mode none`
trader: drop_pebbles_xl_1.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         168    146427.00  runs/backtest-1777466518200-round5-day+2
D+3               3    10000         196    183085.00  runs/backtest-1777466518200-round5-day+3
D+4               4    10000         137     91470.00  runs/backtest-1777466518200-round5-day+4
TOTAL             -    30000         501    420982.00  -
",146427.0,183085.0,91470.0,501.0
shift_pebbles_xs_p75,research/round5/pebbles/generated_traders/shift_pebbles_xs_p75.py,0,420394.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/shift_pebbles_xs_p75.py --dataset round5 --products off --artifact-mode none`
trader: shift_pebbles_xs_p75.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         169    148718.00  runs/backtest-1777466632277-round5-day+2
D+3               3    10000         196    184995.00  runs/backtest-1777466632277-round5-day+3
D+4               4    10000         135     86681.00  runs/backtest-1777466632277-round5-day+4
TOTAL             -    30000         500    420394.00  -
",148718.0,184995.0,86681.0,500.0
edge_s5,research/round5/pebbles/generated_traders/edge_s5.py,0,420290.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/edge_s5.py --dataset round5 --products off --artifact-mode none`
trader: edge_s5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         163    146466.00  runs/backtest-1777466749023-round5-day+2
D+3               3    10000         193    183737.00  runs/backtest-1777466749023-round5-day+3
D+4               4    10000         132     90087.00  runs/backtest-1777466749023-round5-day+4
TOTAL             -    30000         488    420290.00  -
",146466.0,183737.0,90087.0,488.0
pscale_pebbles_xl_1p25,research/round5/pebbles/generated_traders/pscale_pebbles_xl_1p25.py,0,418043.0,"    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.05s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/pscale_pebbles_xl_1p25.py --dataset round5 --products off --artifact-mode none`
trader: pscale_pebbles_xl_1p25.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         170    143659.00  runs/backtest-1777466604207-round5-day+2
D+3               3    10000         196    181998.00  runs/backtest-1777466604207-round5-day+3
D+4               4    10000         137     92386.00  runs/backtest-1777466604207-round5-day+4
TOTAL             -    30000         503    418043.00  -
",143659.0,181998.0,92386.0,503.0
lead_plus_mlag,research/round5/pebbles/generated_traders/lead_plus_mlag.py,0,416877.0,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/pebbles/generated_traders/lead_plus_mlag.py --dataset round5 --products off --artifact-mode none`
trader: lead_plus_mlag.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000         195    145210.00  runs/backtest-1777466421994-round5-day+2
D+3               3    10000         232    189652.00  runs/backtest-1777466421994-round5-day+3
D+4               4    10000         150     82015.00  runs/backtest-1777466421994-round5-day+4
TOTAL             -    30000         577    416877.00  -
",145210.0,189652.0,82015.0,577.0
