variant_id,day,rv_alpha,rv_weight,forecast_rho,min_vol_edge,min_price_edge,cost_buffer,exit_vol_edge,vega_clip_scale,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip,gamma_hedge_sensitivity,gamma_hedge_min_threshold,final_pnl_total,own_trade_count,traded_qty,final_position_underlying,pnl_underlying,pnl_options
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,0,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,4,120,20,300,60,0.0,8,-1839.0,601,909,-189,-2592.0,753.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,1,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,4,120,20,300,60,0.0,8,2070.0,558,912,-192,-5925.0,7995.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,4,120,20,300,60,0.0,8,2088.5,324,917,-197,-4787.5,6876.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,0,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,4,120,20,300,60,3.0,8,-1968.0,610,920,-200,-2721.0,753.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,1,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,4,120,20,300,60,3.0,8,2001.5,565,917,-197,-5993.5,7995.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,2,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,4,120,20,300,60,3.0,8,2088.5,324,917,-197,-4787.5,6876.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,0,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,8,120,20,300,60,0.0,8,-1839.0,601,909,-189,-2592.0,753.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,1,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,8,120,20,300,60,0.0,8,2070.0,558,912,-192,-5925.0,7995.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,8,120,20,300,60,0.0,8,2088.5,324,917,-197,-4787.5,6876.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh3_gm8,0,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,8,120,20,300,60,3.0,8,-1968.0,610,920,-200,-2721.0,753.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh3_gm8,1,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,8,120,20,300,60,3.0,8,2001.5,565,917,-197,-5993.5,7995.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh3_gm8,2,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.0,8,120,20,300,60,3.0,8,2088.5,324,917,-197,-4787.5,6876.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,0,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.25,4,120,20,300,60,0.0,8,-1839.0,601,909,-189,-2592.0,753.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,1,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.25,4,120,20,300,60,0.0,8,2070.0,558,912,-192,-5925.0,7995.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.25,4,120,20,300,60,0.0,8,2088.5,324,917,-197,-4787.5,6876.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh3_gm8,0,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.25,4,120,20,300,60,3.0,8,-1968.0,610,920,-200,-2721.0,753.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p02_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh3_gm8,1,0.015,0.55,0.0,0.015,0.0,0.02,0.005,0.1,1.25,4,120,20,300,60,3.0,8,2001.5,565,917,-197,-5993.5,7995.0
