variant_id,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,own_trade_count,traded_qty,rv_alpha,rv_weight,forecast_rho,min_vol_edge,min_price_edge,cost_buffer,exit_vol_edge,vega_clip_scale,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip,gamma_hedge_sensitivity,gamma_hedge_min_threshold
gamma_a0p015_w0p95_rho0_e0p035_pe1_c0p02_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,671.5,-1999.0,1069.0,1601.5,223.83333333333334,1586.7430128690937,-1999.0,2,0.14106464091400953,571,2732,0.015,0.95,0.0,0.035,1.0,0.02,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0p2_e0p015_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,441.0,-2019.0,1031.0,1429.0,147.0,1540.1878673287447,-2019.0,2,0.09544290220572696,312,2760,0.015,0.55,0.2,0.015,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0p2_e0p015_pe0_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,441.0,-2019.0,1031.0,1429.0,147.0,1540.1878673287447,-2019.0,2,0.09544290220572696,312,2760,0.015,0.55,0.2,0.015,0.0,0.01,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0p2_e0p015_pe1_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,441.0,-2019.0,1031.0,1429.0,147.0,1540.1878673287447,-2019.0,2,0.09544290220572696,312,2760,0.015,0.55,0.2,0.015,1.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0p2_e0p015_pe1_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,441.0,-2019.0,1031.0,1429.0,147.0,1540.1878673287447,-2019.0,2,0.09544290220572696,312,2760,0.015,0.55,0.2,0.015,1.0,0.01,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0p2_e0p035_pe0_c0p02_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,377.0,-2020.0,968.0,1429.0,125.66666666666667,1528.8436443563771,-2020.0,2,0.08219719991018995,304,2747,0.015,0.85,0.2,0.035,0.0,0.02,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0p2_e0p035_pe0_c0p02_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,377.0,-2020.0,968.0,1429.0,125.66666666666667,1528.8436443563771,-2020.0,2,0.08219719991018995,304,2747,0.015,0.85,0.2,0.035,0.0,0.02,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0p2_e0p035_pe1_c0p02_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,377.0,-2020.0,968.0,1429.0,125.66666666666667,1528.8436443563771,-2020.0,2,0.08219719991018995,304,2747,0.015,0.85,0.2,0.035,1.0,0.02,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0p2_e0p035_pe1_c0p02_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,377.0,-2020.0,968.0,1429.0,125.66666666666667,1528.8436443563771,-2020.0,2,0.08219719991018995,304,2747,0.015,0.85,0.2,0.035,1.0,0.02,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p035_pe0_c0p02_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,203.5,-2022.0,624.0,1601.5,67.83333333333333,1530.6706772595542,-2022.0,2,0.0443160859752895,571,2743,0.015,0.95,0.2,0.035,0.0,0.02,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p035_pe0_c0p02_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,203.5,-2022.0,624.0,1601.5,67.83333333333333,1530.6706772595542,-2022.0,2,0.0443160859752895,571,2743,0.015,0.95,0.2,0.035,0.0,0.02,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p035_pe1_c0p02_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,203.5,-2022.0,624.0,1601.5,67.83333333333333,1530.6706772595542,-2022.0,2,0.0443160859752895,571,2743,0.015,0.95,0.2,0.035,1.0,0.02,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p035_pe1_c0p02_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,203.5,-2022.0,624.0,1601.5,67.83333333333333,1530.6706772595542,-2022.0,2,0.0443160859752895,571,2743,0.015,0.95,0.2,0.035,1.0,0.02,0.005,0.0,1.25,4,120,20,300,60,0.0,8
