feature,target,ic_mean,abs_ic_mean,ic_min,ic_max,same_sign_days,day_2_ic,day_3_ic,day_4_ic
cat_resid_z_200,target_cross_sell_5,0.003823891485865583,0.003823891485865583,0.0005580863251633465,0.009983362592044685,1,0.000930225540388716,0.0005580863251633465,0.009983362592044685
xcat_galaxy_ret_1,target_cross_buy_5,-0.003756128774730264,0.003756128774730264,-0.004855073357959309,-0.0028538244422399825,1,-0.0028538244422399825,-0.003559488523991501,-0.004855073357959309
xcat_uv_ret_1,target_3,-0.0036157432258656376,0.0036157432258656376,-0.007537511349298766,-0.0014797934130018626,1,-0.0018299249152962849,-0.007537511349298766,-0.0014797934130018626
xcat_oxygen_ret_1,target_3,-0.0035838952327314436,0.0035838952327314436,-0.004524771749783344,-0.002169859734015222,1,-0.004524771749783344,-0.002169859734015222,-0.004057054214395764
obi_3,target_revert_5,0.003542606055840549,0.003542606055840549,0.0017028571878804932,0.00501376847197015,1,0.003911192507671002,0.0017028571878804932,0.00501376847197015
vol_20,target_1,0.0034405294150747488,0.0034405294150747488,0.001075916154763112,0.007644064552801959,1,0.007644064552801959,0.001601607537659177,0.001075916154763112
xcat_oxygen_ret_5,target_cross_buy_5,-0.00341426296385949,0.00341426296385949,-0.006088245368890849,-0.001546049474435863,1,-0.002608494048251757,-0.001546049474435863,-0.006088245368890849
xcat_uv_ret_1,target_5,-0.003329907660216786,0.003329907660216786,-0.004857264590859862,-0.002324684657673278,1,-0.002324684657673278,-0.004857264590859862,-0.0028077737321172197
trade_signed,target_1,-0.0032842301220007523,0.0032842301220007523,-0.004754821627851322,-0.001960822863700901,1,-0.0031370458744500343,-0.001960822863700901,-0.004754821627851322
z_500,target_1,-0.0032817041257344986,0.0032817041257344986,-0.005560694190629984,-0.0014419795121475352,1,-0.0014419795121475352,-0.005560694190629984,-0.002842438674425976
xcat_panel_ret_1,target_1,-0.003261432989891964,0.003261432989891964,-0.005888347393219861,-0.0009318003267308878,1,-0.005888347393219861,-0.0029641512497251446,-0.0009318003267308878
xcat_galaxy_ret_1,target_5,-0.0032562247692711414,0.0032562247692711414,-0.004809486727380657,-0.0022643916757099625,1,-0.0022643916757099625,-0.0026947959047228043,-0.004809486727380657
xcat_pebbles_ret_1,target_cross_buy_5,-0.003241913262903417,0.003241913262903417,-0.005290085668201742,-0.0018255607887544371,1,-0.005290085668201742,-0.0026100933317540704,-0.0018255607887544371
