split,product,feature_set,model,ic,sign_accuracy,n_trades_proxy,proxy_edge_sum
train_d2_test_d3d4,OXYGEN_SHAKE_MORNING_BREATH,no_orderbook,ridge_linear,0.017685162776046082,0.4977488744372186,2353,-14383.5
train_d2_test_d3d4,OXYGEN_SHAKE_MORNING_BREATH,no_zscore,ridge_linear,0.009624693481722527,0.4947473736868434,2446,-14547.5
train_d2_test_d3d4,OXYGEN_SHAKE_MORNING_BREATH,no_category,ridge_linear,0.0018453848456241315,0.5025012506253127,179,-879.5
train_d2_test_d3d4,OXYGEN_SHAKE_MORNING_BREATH,local_only,ridge_linear,0.028104518519212144,0.49149574787393696,20,16.0
train_d2_test_d3d4,OXYGEN_SHAKE_EVENING_BREATH,no_orderbook,ridge_linear,0.013321060472806642,0.411455727863932,978,-5710.0
train_d2_test_d3d4,OXYGEN_SHAKE_EVENING_BREATH,no_zscore,ridge_linear,0.017026742577853537,0.4042021010505253,849,-4617.0
train_d2_test_d3d4,OXYGEN_SHAKE_EVENING_BREATH,no_category,ridge_linear,0.03251112598749398,0.41520760380190097,463,-2161.0
train_d2_test_d3d4,OXYGEN_SHAKE_EVENING_BREATH,local_only,ridge_linear,0.03603749048700409,0.41670835417708857,417,-1740.0
train_d2_test_d3d4,OXYGEN_SHAKE_MINT,no_orderbook,ridge_linear,0.03487235909583545,0.5215107553776889,880,-4044.0
train_d2_test_d3d4,OXYGEN_SHAKE_MINT,no_zscore,ridge_linear,0.03600206856831444,0.5125062531265633,988,-4623.5
train_d2_test_d3d4,OXYGEN_SHAKE_MINT,no_category,ridge_linear,0.03199485611731527,0.49674837418709356,131,165.5
train_d2_test_d3d4,OXYGEN_SHAKE_MINT,local_only,ridge_linear,0.01683357105449384,0.5025012506253127,3,11.5
train_d2_test_d3d4,OXYGEN_SHAKE_CHOCOLATE,no_orderbook,ridge_linear,0.057083753924479536,0.4947473736868434,493,-2479.0
train_d2_test_d3d4,OXYGEN_SHAKE_CHOCOLATE,no_zscore,ridge_linear,0.05815929524134497,0.5022511255627814,542,-2372.5
train_d2_test_d3d4,OXYGEN_SHAKE_CHOCOLATE,no_category,ridge_linear,0.06826654796184707,0.49799899949974985,207,-10.0
train_d2_test_d3d4,OXYGEN_SHAKE_CHOCOLATE,local_only,ridge_linear,0.06950451907043688,0.4947473736868434,94,200.0
train_d2_test_d3d4,OXYGEN_SHAKE_GARLIC,no_orderbook,ridge_linear,0.0009249417223196248,0.4917458729364682,221,-1749.0
train_d2_test_d3d4,OXYGEN_SHAKE_GARLIC,no_zscore,ridge_linear,-0.001963818423387497,0.49824912456228115,234,-1488.0
train_d2_test_d3d4,OXYGEN_SHAKE_GARLIC,no_category,ridge_linear,0.02201257781183122,0.49224612306153076,39,-80.0
train_d2_test_d3d4,OXYGEN_SHAKE_GARLIC,local_only,ridge_linear,0.027710287591005744,0.4919959979989995,17,-134.0
train_d2_test_d3d4,SNACKPACK_CHOCOLATE,no_orderbook,ridge_linear,0.013362508494475293,0.49749874937468735,32,-121.0
train_d2_test_d3d4,SNACKPACK_CHOCOLATE,no_zscore,ridge_linear,0.030692640147752092,0.5025012506253127,113,-146.0
train_d2_test_d3d4,SNACKPACK_CHOCOLATE,no_category,ridge_linear,0.019422688267517998,0.49724862431215605,108,-134.0
train_d2_test_d3d4,SNACKPACK_CHOCOLATE,local_only,ridge_linear,-0.02356464073790642,0.48724362181090547,0,0.0
train_d2_test_d3d4,SNACKPACK_VANILLA,no_orderbook,ridge_linear,0.01969644329469165,0.49674837418709356,29,-102.0
train_d2_test_d3d4,SNACKPACK_VANILLA,no_zscore,ridge_linear,0.018747756500445467,0.5022511255627814,69,-336.5
train_d2_test_d3d4,SNACKPACK_VANILLA,no_category,ridge_linear,-0.019358576511710274,0.48949474737368687,61,-299.0
train_d2_test_d3d4,SNACKPACK_VANILLA,local_only,ridge_linear,-0.02913247694507375,0.47873936968484243,0,0.0
train_d2_test_d3d4,SNACKPACK_PISTACHIO,no_orderbook,ridge_linear,0.00892722449626843,0.4939969984992496,8,-75.0
train_d2_test_d3d4,SNACKPACK_PISTACHIO,no_zscore,ridge_linear,0.008799198281392714,0.48999499749874936,48,-16.5
train_d2_test_d3d4,SNACKPACK_PISTACHIO,no_category,ridge_linear,0.057735014469054345,0.4942471235617809,60,53.5
train_d2_test_d3d4,SNACKPACK_PISTACHIO,local_only,ridge_linear,0.03921337373579179,0.507503751875938,0,0.0
train_d2_test_d3d4,SNACKPACK_STRAWBERRY,no_orderbook,ridge_linear,-0.007353147781949764,0.49224612306153076,13,-121.0
train_d2_test_d3d4,SNACKPACK_STRAWBERRY,no_zscore,ridge_linear,0.0043477549812617694,0.4832416208104052,59,58.5
train_d2_test_d3d4,SNACKPACK_STRAWBERRY,no_category,ridge_linear,0.02713071770866871,0.5065032516258129,54,230.0
train_d2_test_d3d4,SNACKPACK_STRAWBERRY,local_only,ridge_linear,0.012517072045619826,0.49874937468734365,0,0.0
