split,product,threshold_mult,n_trades_proxy,proxy_edge_sum,proxy_edge_mean
loo_test_d3,UV_VISOR_MAGENTA,0.75,94,-401.0,-4.26595744680851
loo_test_d3,UV_VISOR_MAGENTA,1.0,44,247.5,5.625
loo_test_d3,UV_VISOR_MAGENTA,1.25,31,301.5,9.725806451612904
loo_test_d3,UV_VISOR_MAGENTA,1.5,27,222.5,8.24074074074074
loo_test_d3,TRANSLATOR_SPACE_GRAY,0.5,574,-2403.5,-4.187282229965157
loo_test_d3,TRANSLATOR_SPACE_GRAY,0.75,236,-1507.5,-6.387711864406779
loo_test_d3,TRANSLATOR_SPACE_GRAY,1.0,89,-686.5,-7.713483146067416
loo_test_d3,TRANSLATOR_SPACE_GRAY,1.25,37,-290.0,-7.837837837837838
loo_test_d3,TRANSLATOR_SPACE_GRAY,1.5,23,-108.0,-4.695652173913044
loo_test_d3,TRANSLATOR_ASTRO_BLACK,0.5,1904,-8947.5,-4.699317226890757
loo_test_d3,TRANSLATOR_ASTRO_BLACK,0.75,1796,-8105.5,-4.513084632516704
loo_test_d3,TRANSLATOR_ASTRO_BLACK,1.0,1667,-7281.0,-4.367726454709058
loo_test_d3,TRANSLATOR_ASTRO_BLACK,1.25,1475,-6112.0,-4.143728813559322
loo_test_d3,TRANSLATOR_ASTRO_BLACK,1.5,1239,-5189.0,-4.188054882970137
loo_test_d3,TRANSLATOR_ECLIPSE_CHARCOAL,0.5,669,-2680.0,-4.0059790732436475
loo_test_d3,TRANSLATOR_ECLIPSE_CHARCOAL,0.75,310,-1140.0,-3.6774193548387095
loo_test_d3,TRANSLATOR_ECLIPSE_CHARCOAL,1.0,143,-384.5,-2.6888111888111887
loo_test_d3,TRANSLATOR_ECLIPSE_CHARCOAL,1.25,66,-208.0,-3.1515151515151514
loo_test_d3,TRANSLATOR_ECLIPSE_CHARCOAL,1.5,44,-116.0,-2.6363636363636362
loo_test_d3,TRANSLATOR_GRAPHITE_MIST,0.5,906,-4847.5,-5.350441501103753
loo_test_d3,TRANSLATOR_GRAPHITE_MIST,0.75,534,-2646.5,-4.955992509363296
loo_test_d3,TRANSLATOR_GRAPHITE_MIST,1.0,295,-1343.0,-4.552542372881356
loo_test_d3,TRANSLATOR_GRAPHITE_MIST,1.25,169,-735.0,-4.349112426035503
loo_test_d3,TRANSLATOR_GRAPHITE_MIST,1.5,91,-186.0,-2.043956043956044
loo_test_d3,TRANSLATOR_VOID_BLUE,0.5,443,-2069.0,-4.670428893905192
loo_test_d3,TRANSLATOR_VOID_BLUE,0.75,172,-826.0,-4.8023255813953485
loo_test_d3,TRANSLATOR_VOID_BLUE,1.0,103,-172.0,-1.6699029126213591
loo_test_d3,TRANSLATOR_VOID_BLUE,1.25,68,-71.0,-1.0441176470588236
loo_test_d3,TRANSLATOR_VOID_BLUE,1.5,50,-9.5,-0.19
loo_test_d3,PANEL_1X2,0.5,277,-1111.0,-4.0108303249097474
loo_test_d3,PANEL_1X2,0.75,91,-105.0,-1.1538461538461537
loo_test_d3,PANEL_1X2,1.0,56,114.0,2.0357142857142856
loo_test_d3,PANEL_1X2,1.25,50,156.5,3.13
loo_test_d3,PANEL_1X2,1.5,43,168.5,3.9186046511627906
loo_test_d3,PANEL_2X2,0.5,1302,-5886.0,-4.52073732718894
loo_test_d3,PANEL_2X2,0.75,867,-3935.5,-4.53921568627451
loo_test_d3,PANEL_2X2,1.0,519,-2347.5,-4.523121387283237
loo_test_d3,PANEL_2X2,1.25,263,-1424.0,-5.414448669201521
loo_test_d3,PANEL_2X2,1.5,121,-689.5,-5.698347107438017
loo_test_d3,PANEL_1X4,0.5,1175,-6093.5,-5.18595744680851
loo_test_d3,PANEL_1X4,0.75,863,-4134.5,-4.790845886442642
loo_test_d3,PANEL_1X4,1.0,567,-2147.5,-3.7874779541446206
loo_test_d3,PANEL_1X4,1.25,370,-869.5,-2.35
loo_test_d3,PANEL_1X4,1.5,218,-694.0,-3.18348623853211
loo_test_d3,PANEL_2X4,0.5,674,-4361.5,-6.471068249258161
loo_test_d3,PANEL_2X4,0.75,322,-2209.0,-6.8602484472049685
loo_test_d3,PANEL_2X4,1.0,144,-788.0,-5.472222222222222
loo_test_d3,PANEL_2X4,1.25,88,-598.0,-6.795454545454546
loo_test_d3,PANEL_2X4,1.5,60,-307.0,-5.116666666666666
loo_test_d3,PANEL_4X4,0.5,550,-1686.5,-3.0663636363636364
loo_test_d3,PANEL_4X4,0.75,242,-859.5,-3.5516528925619837
loo_test_d3,PANEL_4X4,1.0,111,-623.5,-5.617117117117117
loo_test_d3,PANEL_4X4,1.25,54,-504.0,-9.333333333333334
loo_test_d3,PANEL_4X4,1.5,39,-355.0,-9.102564102564102
loo_test_d3,OXYGEN_SHAKE_MORNING_BREATH,0.5,452,-3204.0,-7.088495575221239
loo_test_d3,OXYGEN_SHAKE_MORNING_BREATH,0.75,143,-950.0,-6.643356643356643
loo_test_d3,OXYGEN_SHAKE_MORNING_BREATH,1.0,37,-385.5,-10.41891891891892
loo_test_d3,OXYGEN_SHAKE_MORNING_BREATH,1.25,12,-169.5,-14.125
loo_test_d3,OXYGEN_SHAKE_MORNING_BREATH,1.5,4,-73.5,-18.375
loo_test_d3,OXYGEN_SHAKE_EVENING_BREATH,0.5,488,-2622.0,-5.372950819672131
loo_test_d3,OXYGEN_SHAKE_EVENING_BREATH,0.75,193,-751.0,-3.8911917098445596
loo_test_d3,OXYGEN_SHAKE_EVENING_BREATH,1.0,94,-216.0,-2.297872340425532
loo_test_d3,OXYGEN_SHAKE_EVENING_BREATH,1.25,51,42.0,0.8235294117647058
loo_test_d3,OXYGEN_SHAKE_EVENING_BREATH,1.5,34,-13.0,-0.38235294117647056
loo_test_d3,OXYGEN_SHAKE_MINT,0.5,492,-2924.5,-5.944105691056911
loo_test_d3,OXYGEN_SHAKE_MINT,0.75,161,-538.0,-3.341614906832298
loo_test_d3,OXYGEN_SHAKE_MINT,1.0,53,94.0,1.7735849056603774
loo_test_d3,OXYGEN_SHAKE_MINT,1.25,24,-8.0,-0.3333333333333333
loo_test_d3,OXYGEN_SHAKE_MINT,1.5,15,44.0,2.933333333333333
loo_test_d3,OXYGEN_SHAKE_CHOCOLATE,0.5,690,-3841.5,-5.567391304347826
loo_test_d3,OXYGEN_SHAKE_CHOCOLATE,0.75,327,-2050.5,-6.270642201834862
loo_test_d3,OXYGEN_SHAKE_CHOCOLATE,1.0,151,-620.0,-4.105960264900662
loo_test_d3,OXYGEN_SHAKE_CHOCOLATE,1.25,71,-242.0,-3.408450704225352
loo_test_d3,OXYGEN_SHAKE_CHOCOLATE,1.5,51,-110.5,-2.1666666666666665
loo_test_d3,OXYGEN_SHAKE_GARLIC,0.5,505,-3209.0,-6.354455445544555
loo_test_d3,OXYGEN_SHAKE_GARLIC,0.75,161,-978.5,-6.077639751552795
loo_test_d3,OXYGEN_SHAKE_GARLIC,1.0,36,-338.5,-9.402777777777779
loo_test_d3,OXYGEN_SHAKE_GARLIC,1.25,14,-227.0,-16.214285714285715
loo_test_d3,OXYGEN_SHAKE_GARLIC,1.5,6,-174.0,-29.0
loo_test_d3,SNACKPACK_CHOCOLATE,0.5,68,-121.5,-1.786764705882353
loo_test_d3,SNACKPACK_CHOCOLATE,0.75,53,-8.0,-0.1509433962264151
loo_test_d3,SNACKPACK_CHOCOLATE,1.0,43,6.5,0.1511627906976744
loo_test_d3,SNACKPACK_CHOCOLATE,1.25,25,-17.0,-0.68
loo_test_d3,SNACKPACK_CHOCOLATE,1.5,9,7.5,0.8333333333333334
loo_test_d3,SNACKPACK_VANILLA,0.5,65,-240.5,-3.7
loo_test_d3,SNACKPACK_VANILLA,0.75,34,-32.5,-0.9558823529411765
loo_test_d3,SNACKPACK_VANILLA,1.0,20,33.0,1.65
loo_test_d3,SNACKPACK_VANILLA,1.25,9,11.0,1.2222222222222223
loo_test_d3,SNACKPACK_VANILLA,1.5,7,22.5,3.2142857142857144
loo_test_d3,SNACKPACK_PISTACHIO,0.5,46,-109.5,-2.380434782608696
loo_test_d3,SNACKPACK_PISTACHIO,0.75,32,54.0,1.6875
loo_test_d3,SNACKPACK_PISTACHIO,1.0,28,42.5,1.5178571428571428
loo_test_d3,SNACKPACK_PISTACHIO,1.25,17,29.5,1.7352941176470589
loo_test_d3,SNACKPACK_PISTACHIO,1.5,12,8.0,0.6666666666666666
loo_test_d3,SNACKPACK_STRAWBERRY,0.5,63,-241.0,-3.8253968253968256
loo_test_d3,SNACKPACK_STRAWBERRY,0.75,34,90.5,2.661764705882353
loo_test_d3,SNACKPACK_STRAWBERRY,1.0,28,95.0,3.392857142857143
loo_test_d3,SNACKPACK_STRAWBERRY,1.25,22,121.0,5.5
loo_test_d3,SNACKPACK_STRAWBERRY,1.5,18,114.0,6.333333333333333
loo_test_d3,SNACKPACK_RASPBERRY,0.5,138,-878.0,-6.36231884057971
loo_test_d3,SNACKPACK_RASPBERRY,0.75,44,-6.0,-0.13636363636363635
loo_test_d3,SNACKPACK_RASPBERRY,1.0,36,84.0,2.3333333333333335
loo_test_d3,SNACKPACK_RASPBERRY,1.25,29,65.0,2.2413793103448274
loo_test_d3,SNACKPACK_RASPBERRY,1.5,22,139.0,6.318181818181818
loo_test_d4,GALAXY_SOUNDS_DARK_MATTER,0.5,968,-5456.0,-5.636363636363637
loo_test_d4,GALAXY_SOUNDS_DARK_MATTER,0.75,498,-2685.5,-5.392570281124498
loo_test_d4,GALAXY_SOUNDS_DARK_MATTER,1.0,180,-406.0,-2.2555555555555555
loo_test_d4,GALAXY_SOUNDS_DARK_MATTER,1.25,59,-205.0,-3.4745762711864407
