variant_id,engine,k_micro,k_imbalance,threshold,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,mean_corr_signal_next_return,mean_hit_rate_triggered,mean_trigger_rate
micro_k1p5_imb1_thr0,rust,1.5,1.0,0.0,-6756.5,-2625.0,905.0,-5036.5,-2252.1666666666665,2439.8919488826186,-5036.5,1,-0.9230600017747317,0.2662625817031743,0.734935330789988,1.0
micro_k1p5_imb1p25_thr0,rust,1.5,1.25,0.0,-6971.5,-2146.0,357.0,-5182.5,-2323.8333333333335,2264.9847068406934,-5182.5,1,-1.0259819089788464,0.2672821400869767,0.734935330789988,1.0
micro_k1p5_imb0p75_thr0,rust,1.5,0.75,0.0,-8122.0,-1946.0,-401.0,-5775.0,-2707.3333333333335,2259.0101568804175,-5775.0,0,-1.1984600091709325,0.2652236462099114,0.734935330789988,1.0
micro_k1p75_imb0p75_thr0p25,rust,1.75,0.75,0.25,-9973.0,-1753.0,-1545.0,-6675.0,-3324.3333333333335,2370.8003336894953,-6675.0,0,-1.4021987790758093,0.26477231563027925,0.7341352464958386,0.3076666666666667
micro_k1p75_imb1_thr0p25,rust,1.75,1.0,0.25,-9980.5,-1438.0,-1666.5,-6876.0,-3326.8333333333335,2511.372942347583,-6876.0,0,-1.324707006766645,0.265671313175161,0.7342950282246553,0.30795
micro_k1p75_imb1p25_thr0p25,rust,1.75,1.25,0.25,-10564.5,-1456.0,-1781.0,-7327.5,-3521.5,2694.51705629537,-7327.5,0,-1.3069132339582676,0.26655583684153217,0.7345555686659131,0.30838333333333334
micro_k1p5_imb0p75_thr0p25,rust,1.5,0.75,0.25,-11773.0,403.0,-4555.0,-7621.0,-3924.3333333333335,3305.999529474995,-7621.0,1,-1.1870338450880982,0.2652236462099114,0.7337734633598214,0.30725
micro_k1p5_imb1p25_thr0p25,rust,1.5,1.25,0.25,-12851.5,-1062.0,-4283.0,-7506.5,-4283.833333333333,2630.9561738822044,-7506.5,0,-1.6282419965249884,0.2672821400869767,0.7343383033167371,0.308
micro_k1p75_imb1p25_thr0p5,rust,1.75,1.25,0.5,-13615.0,-1833.0,-4709.0,-7073.0,-4538.333333333333,2142.622277075972,-7073.0,0,-2.1181210434928643,0.26655583684153217,0.7318126105534764,0.30456666666666665
micro_k1p75_imb1_thr0p5,rust,1.75,1.0,0.5,-13758.0,-1406.0,-4927.0,-7425.0,-4586.0,2469.0485346923956,-7425.0,0,-1.857395646768639,0.265671313175161,0.7312874470234089,0.30393333333333333
micro_k1p75_imb0p75_thr0p5,rust,1.75,0.75,0.5,-13888.0,-1331.0,-5090.0,-7467.0,-4629.333333333333,2526.101651865094,-7467.0,0,-1.8325997807386452,0.26477231563027925,0.7310053172689421,0.30355
micro_k1p5_imb1_thr0p25,rust,1.5,1.0,0.25,-14064.0,-999.0,-5287.0,-7778.0,-4688.0,2799.739392634012,-7778.0,0,-1.6744415613582615,0.2662625817031743,0.7341063418925664,0.30763333333333337
micro_k1p75_imb0p75_thr0,rust,1.75,0.75,0.0,-76245.5,-22795.0,-26325.0,-27125.5,-25415.166666666668,1881.3390768870513,-27125.5,0,-13.509083492118945,0.26477231563027925,0.734935330789988,1.0
micro_k1p75_imb1_thr0,rust,1.75,1.0,0.0,-76611.5,-22980.0,-26145.0,-27486.5,-25537.166666666668,1889.3087948300622,-27486.5,0,-13.516671671954052,0.265671313175161,0.734935330789988,1.0
micro_k1p75_imb1p25_thr0,rust,1.75,1.25,0.0,-77014.0,-23063.0,-26322.5,-27628.5,-25671.333333333332,1919.8890737632619,-27628.5,0,-13.371258623291403,0.26655583684153217,0.734935330789988,1.0
