signal,product,horizon,threshold,day,count,mean_edge,total_edge,hit_rate,t_stat
premium_rolling_z,VEV_4000,20,1.5,3,628,-6.660828025477707,-4183.0,0.18471337579617833,-24.310976713009065
premium_rolling_z,VEV_4000,20,2.0,1,392,-5.184948979591836,-2032.5,0.22959183673469388,-15.753539748402428
premium_rolling_z,VEV_4000,20,2.0,2,370,-5.508108108108108,-2038.0,0.21621621621621623,-15.983248287720034
premium_rolling_z,VEV_4000,20,2.0,3,379,-3.949868073878628,-1497.0,0.3007915567282322,-11.12440080828783
premium_rolling_z,VEV_4000,20,2.5,1,274,-3.375912408759124,-925.0,0.3284671532846715,-8.534629667917747
premium_rolling_z,VEV_4000,20,2.5,2,247,-3.2064777327935223,-792.0,0.3157894736842105,-7.785927663341715
premium_rolling_z,VEV_4000,20,2.5,3,269,-1.2973977695167287,-349.0,0.42379182156133827,-3.5281183810805072
premium_rolling_z,VEV_4000,50,1.0,1,902,-8.299334811529933,-7486.0,0.1419068736141907,-31.861700743902468
premium_rolling_z,VEV_4000,50,1.0,2,898,-8.265033407572384,-7422.0,0.1358574610244989,-32.5763824723366
premium_rolling_z,VEV_4000,50,1.0,3,904,-7.771570796460177,-7025.5,0.17920353982300885,-28.02853160417574
premium_rolling_z,VEV_4000,50,1.5,1,650,-7.537692307692308,-4899.5,0.17846153846153845,-23.487181572550618
premium_rolling_z,VEV_4000,50,1.5,2,655,-7.436641221374046,-4871.0,0.1633587786259542,-24.154085741336235
premium_rolling_z,VEV_4000,50,1.5,3,625,-6.4816,-4051.0,0.2256,-18.9522382349399
premium_rolling_z,VEV_4000,50,2.0,1,392,-5.639030612244898,-2210.5,0.27040816326530615,-12.786128043921734
premium_rolling_z,VEV_4000,50,2.0,2,369,-5.318428184281843,-1962.5,0.25745257452574527,-12.383639530325635
premium_rolling_z,VEV_4000,50,2.0,3,376,-3.5625,-1339.5,0.3351063829787234,-8.250401297180396
premium_rolling_z,VEV_4000,50,2.5,1,274,-4.04014598540146,-1107.0,0.35766423357664234,-7.436495277724097
premium_rolling_z,VEV_4000,50,2.5,2,246,-2.8780487804878048,-708.0,0.3617886178861789,-5.65340938490357
premium_rolling_z,VEV_4000,50,2.5,3,266,-1.1879699248120301,-316.0,0.4398496240601504,-2.4611700002539476
premium_rolling_z,VEV_4000,100,1.0,1,897,-8.31772575250836,-7461.0,0.2140468227424749,-23.91266599562575
premium_rolling_z,VEV_4000,100,1.0,2,893,-8.071668533034714,-7208.0,0.1948488241881299,-26.007016741265993
premium_rolling_z,VEV_4000,100,1.0,3,900,-7.652777777777778,-6887.5,0.23555555555555555,-21.92694529269399
premium_rolling_z,VEV_4000,100,1.5,1,648,-7.736111111111111,-5013.0,0.24074074074074073,-18.062872587946522
premium_rolling_z,VEV_4000,100,1.5,2,651,-7.423195084485407,-4832.5,0.2196620583717358,-20.13924464345163
premium_rolling_z,VEV_4000,100,1.5,3,624,-6.291666666666667,-3926.0,0.2980769230769231,-14.554520904964058
premium_rolling_z,VEV_4000,100,2.0,1,391,-5.947570332480819,-2325.5,0.2813299232736573,-10.597825075138891
premium_rolling_z,VEV_4000,100,2.0,2,365,-5.304109589041096,-1936.0,0.29041095890410956,-10.924211815176466
premium_rolling_z,VEV_4000,100,2.0,3,376,-3.077127659574468,-1157.0,0.4175531914893617,-5.675710541591527
premium_rolling_z,VEV_4000,100,2.5,1,273,-4.571428571428571,-1248.0,0.32967032967032966,-6.664053998813375
premium_rolling_z,VEV_4000,100,2.5,2,244,-3.17827868852459,-775.5,0.38524590163934425,-5.277036080798418
premium_rolling_z,VEV_4000,100,2.5,3,266,-0.8383458646616542,-223.0,0.5300751879699248,-1.338394253054501
premium_rolling_z,VEV_4500,1,1.0,1,895,-6.242458100558659,-5587.0,0.08156424581005586,-52.92861667245187
premium_rolling_z,VEV_4500,1,1.0,2,914,-6.49671772428884,-5938.0,0.07330415754923414,-57.47692548243526
premium_rolling_z,VEV_4500,1,1.0,3,929,-5.901506996770721,-5482.5,0.10656620021528525,-49.33480360011457
premium_rolling_z,VEV_4500,1,1.5,1,694,-5.734149855907781,-3979.5,0.10518731988472622,-39.72423223594547
premium_rolling_z,VEV_4500,1,1.5,2,715,-6.0755244755244755,-4344.0,0.0937062937062937,-43.83038325457869
premium_rolling_z,VEV_4500,1,1.5,3,714,-5.309523809523809,-3791.0,0.13865546218487396,-36.294757044019406
premium_rolling_z,VEV_4500,1,2.0,1,490,-4.7877551020408164,-2346.0,0.1489795918367347,-25.829765628445337
premium_rolling_z,VEV_4500,1,2.0,2,497,-5.17102615694165,-2570.0,0.13480885311871227,-28.45932376993196
premium_rolling_z,VEV_4500,1,2.0,3,504,-4.244047619047619,-2139.0,0.19642857142857142,-23.010475041584105
premium_rolling_z,VEV_4500,1,2.5,1,304,-2.9720394736842106,-903.5,0.24013157894736842,-12.492445878825205
premium_rolling_z,VEV_4500,1,2.5,2,287,-3.010452961672474,-864.0,0.23344947735191637,-12.539516059599459
premium_rolling_z,VEV_4500,1,2.5,3,323,-2.2027863777089784,-711.5,0.3065015479876161,-10.389366292142284
premium_rolling_z,VEV_4500,5,1.0,1,895,-6.288268156424581,-5628.0,0.09385474860335195,-47.822849995156005
premium_rolling_z,VEV_4500,5,1.0,2,914,-6.547045951859956,-5984.0,0.07768052516411379,-51.18939086027625
premium_rolling_z,VEV_4500,5,1.0,3,929,-5.853067814854683,-5437.5,0.10979547900968784,-43.81837445199628
premium_rolling_z,VEV_4500,5,1.5,1,694,-5.797550432276657,-4023.5,0.12103746397694524,-36.43545499210579
premium_rolling_z,VEV_4500,5,1.5,2,715,-6.14965034965035,-4397.0,0.0993006993006993,-39.93406065119211
premium_rolling_z,VEV_4500,5,1.5,3,714,-5.2822128851540615,-3771.5,0.14285714285714285,-32.62452761566379
premium_rolling_z,VEV_4500,5,2.0,1,490,-4.8979591836734695,-2400.0,0.17142857142857143,-24.066038441836007
premium_rolling_z,VEV_4500,5,2.0,2,497,-5.358148893360161,-2663.0,0.14285714285714285,-26.875686307760123
premium_rolling_z,VEV_4500,5,2.0,3,504,-4.190476190476191,-2112.0,0.20238095238095238,-20.903239800330077
premium_rolling_z,VEV_4500,5,2.5,1,304,-2.981907894736842,-906.5,0.26973684210526316,-11.675187377030968
premium_rolling_z,VEV_4500,5,2.5,2,287,-3.3101045296167246,-950.0,0.24738675958188153,-12.492919638048459
premium_rolling_z,VEV_4500,5,2.5,3,323,-2.2136222910216716,-715.0,0.3126934984520124,-9.525543847663359
premium_rolling_z,VEV_4500,10,1.0,1,895,-6.318994413407821,-5655.5,0.09497206703910614,-43.45552965092111
premium_rolling_z,VEV_4500,10,1.0,2,914,-6.612691466083151,-6044.0,0.07986870897155361,-46.72904658949738
premium_rolling_z,VEV_4500,10,1.0,3,929,-5.824004305705059,-5410.5,0.11410118406889128,-38.53580285847515
premium_rolling_z,VEV_4500,10,1.5,1,694,-5.856628242074928,-4064.5,0.12103746397694524,-33.72661886608289
premium_rolling_z,VEV_4500,10,1.5,2,715,-6.2006993006993,-4433.5,0.1020979020979021,-36.96114351377296
premium_rolling_z,VEV_4500,10,1.5,3,714,-5.200980392156863,-3713.5,0.1484593837535014,-29.101364357950192
