day,timestamp,cash,equity,gross_exposure,drawdown,stopped,open_positions,max_abs_position
3,313300,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,313600,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,313800,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,314200,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,314500,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,314600,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,314900,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,315000,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,315500,-6321.0,-6321.0,0.0,30448.0,1,1,8
3,315700,-6237.0,-6267.0,30.0,30394.0,1,1,4
3,316500,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,316800,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,317100,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,317700,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,317800,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,318200,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,319300,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,319700,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,319900,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,320100,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,320500,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,320600,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,320700,-6237.0,-6237.0,0.0,30364.0,1,1,4
3,320800,-6333.0,-6277.0,56.0,30404.0,1,1,8
3,320900,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,321000,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,321100,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,321200,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,321400,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,322000,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,322300,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,322900,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,323000,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,323500,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,323600,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,324000,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,325000,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,325300,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,325400,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,325500,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,325800,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,326400,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,326800,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,327000,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,327200,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,327300,-6333.0,-6333.0,0.0,30460.0,1,1,8
3,327400,-6249.0,-6279.0,30.0,30406.0,1,1,4
3,327500,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,327600,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,327800,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,328100,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,328400,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,329100,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,329500,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,329700,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,330300,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,330400,-6249.0,-6249.0,0.0,30376.0,1,1,4
3,330500,-6369.0,-6297.0,72.0,30424.0,1,1,8
3,331100,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,331500,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,331600,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,331700,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,331900,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,332200,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,332500,-6273.0,-6307.0,34.0,30434.0,1,1,4
3,333000,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,333100,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,333600,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,333800,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,333900,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,334100,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,334300,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,334800,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,335000,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,335200,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,335400,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,335600,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,335900,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,336700,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,337100,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,337300,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,337400,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,337600,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,337800,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,337900,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,338000,-6273.0,-6273.0,0.0,30400.0,1,1,4
3,338200,-6369.0,-6309.0,60.0,30436.0,1,1,8
