y,name,legs,folds,sum_proxy,mean_proxy,min_proxy,avg,trades,sd,hl,cross,entry,margin
MICROCHIP_RECTANGLE,xret2,OXYGEN_SHAKE_MINT|SLEEP_POD_POLYESTER,4,38829.5,9707.375,-7727.5,42.31852388814335,3153.5,430.3131640714891,822.4324517539279,2,2.0,1.0
TRANSLATOR_GRAPHITE_MIST,xret3,GALAXY_SOUNDS_SOLAR_WINDS|SNACKPACK_CHOCOLATE|SNACKPACK_RASPBERRY,4,37917.5,9479.375,5348.5,8.50190518159034,3625.0,234.6692121904897,886.5056937670214,3,2.0,1.0
TRANSLATOR_VOID_BLUE,xret3,PEBBLES_XS|SNACKPACK_PISTACHIO|SNACKPACK_VANILLA,4,37141.5,9285.375,-11653.0,10.50284309801503,5636.5,243.56854532850872,538.8852269265935,3,1.8,1.0
GALAXY_SOUNDS_SOLAR_FLAMES,ret2,SNACKPACK_PISTACHIO|PANEL_2X4,4,36608.5,9152.125,-19790.0,16.03758048724053,4476.75,396.64306799299953,1024.898591737778,2,2.2,1.0
TRANSLATOR_ECLIPSE_CHARCOAL,ret4,SNACKPACK_PISTACHIO|SNACKPACK_STRAWBERRY|UV_VISOR_MAGENTA|SNACKPACK_CHOCOLATE,4,30521.0,7630.25,-11236.5,23.416748656186385,4125.25,226.05577129200867,399.89987243572443,4,2.2,1.0
GALAXY_SOUNDS_SOLAR_FLAMES,ridge8,TRANSLATOR_SPACE_GRAY|ROBOT_LAUNDRY|OXYGEN_SHAKE_GARLIC|OXYGEN_SHAKE_EVENING_BREATH|ROBOT_VACUUMING|SNACKPACK_STRAWBERRY|PEBBLES_XL|PANEL_4X4,4,29096.0,7274.0,-13486.5,1.9004019203248208,6951.75,219.51794244199408,296.7577129785692,8,1.65,1.0
SLEEP_POD_LAMB_WOOL,lev5,TRANSLATOR_ECLIPSE_CHARCOAL|PANEL_1X2|UV_VISOR_YELLOW|ROBOT_VACUUMING|UV_VISOR_RED,4,28332.0,7083.0,-11822.0,7.606146866294958,7707.5,249.9520477906814,438.60567234726824,5,2.2,1.0
SNACKPACK_VANILLA,xlev2,OXYGEN_SHAKE_CHOCOLATE|PANEL_1X2,4,27876.0,6969.0,-1602.5,8.825970694396045,1257.25,134.12175260305338,543.497791196347,2,2.2,1.0
SNACKPACK_VANILLA,xret3,OXYGEN_SHAKE_MINT|PANEL_1X2|UV_VISOR_MAGENTA,4,26125.5,6531.375,-1469.5,2.5814431475458246,4072.25,117.65927109480543,362.0803293463062,3,2.2,1.0
SNACKPACK_STRAWBERRY,lev4,SNACKPACK_RASPBERRY|UV_VISOR_AMBER|SLEEP_POD_POLYESTER|TRANSLATOR_VOID_BLUE,4,24025.5,6006.375,-4533.0,1.1495764517118714,5556.5,58.30331456978727,292.13944297843875,3,1.85,1.0
ROBOT_MOPPING,lev5,PANEL_1X4|OXYGEN_SHAKE_MORNING_BREATH|MICROCHIP_SQUARE|ROBOT_IRONING|ROBOT_VACUUMING,4,22395.5,5598.875,-13137.0,0.02493242968013104,7427.75,268.4091046675287,690.4146231417528,3,2.2,1.0
OXYGEN_SHAKE_MORNING_BREATH,lev2,PEBBLES_M|PANEL_1X4,4,22096.0,5524.0,-15886.5,16.64041852262266,3310.0,292.9006818464185,583.3660494716564,2,2.2,1.0
GALAXY_SOUNDS_SOLAR_FLAMES,lev5,TRANSLATOR_SPACE_GRAY|ROBOT_LAUNDRY|OXYGEN_SHAKE_GARLIC|OXYGEN_SHAKE_EVENING_BREATH|ROBOT_VACUUMING,4,20190.5,5047.625,-13740.0,4.787791998742938,6125.0,237.4567277655293,490.23648768591573,5,2.2,1.0
SLEEP_POD_LAMB_WOOL,ret4,OXYGEN_SHAKE_MORNING_BREATH|PANEL_2X4|SNACKPACK_PISTACHIO|TRANSLATOR_VOID_BLUE,4,16132.5,4033.125,-17960.0,2.9109435885181307,5297.0,302.0730273321662,641.013026028909,4,2.0,1.0
ROBOT_VACUUMING,xlev5,GALAXY_SOUNDS_SOLAR_WINDS|PANEL_1X4|OXYGEN_SHAKE_MORNING_BREATH|SLEEP_POD_NYLON|TRANSLATOR_ASTRO_BLACK,4,15376.5,3844.125,-18938.0,1.7657301521873698,7118.25,172.5273078199345,347.23704858721163,5,2.2,1.0
SNACKPACK_PISTACHIO,xlev2,ROBOT_IRONING|MICROCHIP_RECTANGLE,4,14633.0,3658.25,-19929.0,3.441881819044237,2598.75,99.73110171478454,447.8102642480284,2,1.4,1.0
TRANSLATOR_ECLIPSE_CHARCOAL,ret2,SNACKPACK_PISTACHIO|SNACKPACK_STRAWBERRY,4,12206.5,3051.625,-11157.0,47.62078702547453,2175.5,319.9160525096919,942.3473109117413,2,1.8,1.0
SNACKPACK_VANILLA,xlev3,OXYGEN_SHAKE_CHOCOLATE|PANEL_1X2|PANEL_2X4,4,5929.5,1482.375,-9105.5,3.7193664041175802,4100.0,130.08094014963007,441.5982891641996,3,1.85,1.0
SNACKPACK_PISTACHIO,xlev3,ROBOT_IRONING|MICROCHIP_RECTANGLE|PEBBLES_XS,4,-3949.0,-987.25,-9745.5,3.9853956083705664,3367.5,92.81673301405131,417.840007760446,3,2.0,1.0
ROBOT_IRONING,ret2,MICROCHIP_OVAL|UV_VISOR_AMBER,4,-5987.0,-1496.75,-14701.0,18.52018838145105,3802.25,381.6589207500656,1161.0604719297198,2,2.0,1.0
SNACKPACK_PISTACHIO,lev2,SNACKPACK_RASPBERRY|ROBOT_IRONING,4,-9020.0,-2255.0,-7751.0,-0.835718183412081,2736.25,67.40763894382458,462.60312039016827,1,1.8,1.0
PEBBLES_S,lev3,PEBBLES_XL|OXYGEN_SHAKE_GARLIC|PANEL_2X4,4,-11267.0,-2816.75,-11290.0,2.6944204969399284,7271.5,272.26215372894274,580.0080235604288,2,2.2,1.0
GALAXY_SOUNDS_DARK_MATTER,ret2,PANEL_2X4|SNACKPACK_CHOCOLATE,4,-18413.0,-4603.25,-15890.0,-0.6947185753536858,8203.0,220.85790793700997,616.8209444169077,2,1.65,1.0
SNACKPACK_VANILLA,xret5,OXYGEN_SHAKE_MINT|PANEL_1X2|UV_VISOR_MAGENTA|TRANSLATOR_SPACE_GRAY|TRANSLATOR_ASTRO_BLACK,4,-39565.5,-9891.375,-19960.0,-1.3511088214212634,5294.25,119.51488906095068,338.209807060363,5,2.2,1.0
