strategy,total_pnl,day_0_pnl,day_1_pnl,day_2_pnl,min_day_pnl,max_day_pnl,mean_day_pnl,day_std_pnl,day_sharpe,total_own_trades,features,docstring_excerpt,path
v24_partial_hedge,706155.00,228508.50,307599.00,170047.50,170047.50,307599.00,235385.00,69033.10,3.409741,6696,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, drawdown_controls, full_limits_focus",Round 3 v23 — v16 + cross-product DELTA HEDGING (VFE neutralises VEV exposure). The VEV options are calls on VFE. Each long call has positive delta toward VFE (option price moves with the underlying). When the strategy accumulates,C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v24_partial_hedge.py
v22_negskew_stable,696163.00,221516.50,307593.00,167053.50,167053.50,307593.00,232054.33,70859.88,3.274834,6807,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, drawdown_controls, full_limits_focus","Round 3 v22 — v16 + reduced spread-paying + informed-flow exit-at-fair. Goal: maintain v16's ~720k historical PnL while improving Sharpe and reducing realised drawdown. NEG-SKEW design — avoid the ""buying above mid / selling below mid"" expense that drives MTM swings.",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v22_negskew_stable.py
v15_hp_cap_150,681055.00,218538.50,300116.00,162400.50,162400.50,300116.00,227018.33,69248.25,3.278326,6560,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v15_hp_cap_150.py
v23_delta_hedge,679344.00,222891.50,290118.00,166334.50,166334.50,290118.00,226448.00,61968.34,3.654253,6641,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, drawdown_controls, full_limits_focus",Round 3 v23 — v16 + cross-product DELTA HEDGING (VFE neutralises VEV exposure). The VEV options are calls on VFE. Each long call has positive delta toward VFE (option price moves with the underlying). When the strategy accumulates,C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v23_delta_hedge.py
hybrid,666607.00,216128.50,242150.00,208328.50,208328.50,242150.00,222202.33,17709.94,12.546757,5823,"kalman_mean_reversion, microprice_fair, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 submission — two pipelines, one Trader. HYDROGEL_PACK / VELVETFRUIT_EXTRACT → Kalman-MR (proportional reversion to fair_static) VEV_4000 … VEV_5500                 → anchor-divergence + market-make PRE-SUBMISSION CHECKLIST:",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\hybrid.py
v21_safe_structural,648745.00,208398.50,267532.00,172814.50,172814.50,267532.00,216248.33,47844.19,4.519846,7207,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v11 — Kevin's hybrid.py + ONLY VFE informed-flow target bias. KEY FINDING: at limit=200/300 (the IMC actual limits), hybrid.py historical PnL = 716,008. v01-v10 all add layers (Stoikov skew, dual-anchor MR, IV scalp, exit-at-fair, EMA trend) on top of hybrid's Kalman-MR +",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v21_safe_structural.py
v10_full_limits,251099.00,62365.50,118255.00,70478.50,62365.50,118255.00,83699.67,30199.48,2.771560,2541,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v10 — v09 with full IMC position limits (200/300 like hybrid.py). Same logic as v09; only the position_limit values change (100 -> 200 for HP/VFE, 100 -> 300 for VEV_*) to match Kevin's hybrid.py and Test_1.py — both of which",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v10_full_limits.py
v20_structural,176744.00,46227.50,62599.50,67917.00,46227.50,67917.00,58914.67,11304.52,5.211604,2581,"kalman_mean_reversion, microprice_fair, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, drawdown_controls, full_limits_focus","Round 3 v20 — seven structural improvements over v16. User-prescribed changes (each is structural, not a parameter sweep): 1. HP fair_static 10030 -> 9990 (the actual 3-day mean — eliminates the structural long bias that bled through Day-0/Day-2 down-trends).",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v20_structural.py
v09_hybrid_informed_ema,128085.00,32356.50,59637.00,36091.50,32356.50,59637.00,42695.00,14790.57,2.886636,1915,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus",Round 3 v09 — hybrid.py's tighter VEV thresholds + v07 informed-flow + v08 EMA trend. Integrates teammate Kevin's hybrid.py with our own informed-flow + EMA-trend work: - Adopt hybrid.py's TIGHTER per-strike divergence thresholds for VEV — Kevin,C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v09_hybrid_informed_ema.py
v03_iv_scalp_dual_mr,127927.00,31765.50,59382.00,36779.50,31765.50,59382.00,42642.33,14712.15,2.898443,1908,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus",Round 3 v03 — v02 + IV scalping + dual-anchor mean reversion. What's new vs v02 ----------------- 1. **IV scalping per option.**,C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v03_iv_scalp_dual_mr.py
v07_v03_plus_pos_reduce,127927.00,31765.50,59382.00,36779.50,31765.50,59382.00,42642.33,14712.15,2.898443,1908,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v07 — v03 + position-reducing-at-fair + VFE informed-flow signal. Synthesis of the experimentation in v04-v06: v04-v06 (clean P3 from-scratch) underperform v03 because the assumption ""HP fair = 10,000"" doesn't hold day-by-day — mid drifts to 9958 on day 0,",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v07_v03_plus_pos_reduce.py
v01_bs_smile_flow,127887.00,31749.50,59196.00,36941.50,31749.50,59196.00,42629.00,14580.41,2.923718,1939,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 — Test_1 verbatim, with the VEV anchor replaced by BS-with-smile. Why this is the minimal-change strategy --------------------------------------- Test_1.py earns +180,851 on round-3 day 0 via the historical backtester. Its",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v01_bs_smile_flow.py
v08_ema_trend_inf,127826.00,32218.50,59516.00,36091.50,32218.50,59516.00,42608.67,14769.68,2.884874,1914,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v08 — v07 + EMA trend skew + amplified informed-flow following. Two additions on top of v07: EMA trend skew on HP/VFE position target Maintain a fast price EMA (alpha=EMA_ALPHA, ~50-tick half-life). Add",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v08_ema_trend_inf.py
v02_inventory_aware,127535.00,31720.50,59129.00,36685.50,31720.50,59129.00,42511.67,14603.58,2.911044,1922,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus",Round 3 v02 — v01 + Stoikov-style inventory skew + bot-flow-aware exit-at-fair. What's new vs v01 ----------------- 1. **Stoikov-style reservation-price skew on VEV quotes.**,C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v02_inventory_aware.py
v04_p3_clean_mm,61935.50,7652.00,22766.50,31517.00,7652.00,31517.00,20645.17,12073.09,1.710015,3983,"microprice_fair, option_iv_smile, informed_flow, inventory_aware, vev_divergence_mm, full_limits_focus","Round 3 v04 — clean P3-finalist market maker (start-from-scratch). Design choices (all from chrispyroberts' P3 winner walkthrough) --------------------------------------------------------------- HYDROGEL_PACK   stable-fair MM at fair = 10,000 (the IMC-published true value)",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v04_p3_clean_mm.py
v05_informed_flow,56422.50,7954.00,19106.50,29362.00,7954.00,29362.00,18807.50,10707.13,1.756540,4653,"microprice_fair, option_iv_smile, informed_flow, inventory_aware, ema_trend, vev_divergence_mm, full_limits_focus","Round 3 v05 — v04 + informed-trader directional position on VFE. Bot-behaviour signal mined from data ------------------------------------ Round-3 trade CSVs (3 days) — every product, the trade-size distribution is",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v05_informed_flow.py
v06_targeted_p3_informed,45697.50,4670.00,14765.50,26262.00,4670.00,26262.00,15232.50,10803.57,1.409950,4936,"kalman_mean_reversion, microprice_fair, option_iv_smile, informed_flow, vev_divergence_mm, drawdown_controls, full_limits_focus","Round 3 v06 — clean P3 MM + (fair-mid) position-targeting + VFE informed-flow. Synthesises the lessons of v01-v05: - v04 (clean P3 MM) is too passive — penny-jumping at fair captures only spread, leaving the structural mean-reversion edge on HP/VFE on the table.",C:\Users\josh\Documents\GitHub\prosperity\.research_repos\p4-chennethelius\strategies\round3\v06_targeted_p3_informed.py
