variant_id,product,k_micro,k_imbalance,threshold,n,trigger_count,trigger_rate,corr_signal_next_return,hit_rate_all,hit_rate_triggered,signal_x_return_proxy
micro_k1p25_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,1.25,1.25,0.5,29997,17214,0.5738333333333333,0.23289994319838955,0.4961332878426021,0.48809108864877426,9169.07916198364
micro_k1p5_imb0p75_thr0,HYDROGEL_PACK,1.5,0.75,0.0,29997,29997,1.0,0.30049270641577536,0.9737373737373738,0.9737373737373738,6941.081126128504
micro_k1p5_imb0p75_thr0,VELVETFRUIT_EXTRACT,1.5,0.75,0.0,29997,29997,1.0,0.22995458600404745,0.4961332878426021,0.4961332878426021,10840.283046747785
micro_k1p5_imb0p75_thr0p25,HYDROGEL_PACK,1.5,0.75,0.25,29997,961,0.03203333333333333,0.30049270641577536,0.9737373737373738,0.9739854318418314,6941.081126128504
micro_k1p5_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,1.5,0.75,0.25,29997,17473,0.5824666666666667,0.22995458600404745,0.4961332878426021,0.4935614948778115,10840.283046747785
micro_k1p5_imb0p75_thr0p5,HYDROGEL_PACK,1.5,0.75,0.5,29997,912,0.0304,0.30049270641577536,0.9737373737373738,0.9725877192982456,6941.081126128504
micro_k1p5_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,1.5,0.75,0.5,29997,17256,0.5752333333333334,0.22995458600404745,0.4961332878426021,0.48869958275382475,10840.283046747785
micro_k1p5_imb1_thr0,HYDROGEL_PACK,1.5,1.0,0.0,29997,29997,1.0,0.30158453514340944,0.9737373737373738,0.9737373737373738,7027.283491197373
micro_k1p5_imb1_thr0,VELVETFRUIT_EXTRACT,1.5,1.0,0.0,29997,29997,1.0,0.2309406282629391,0.4961332878426021,0.4961332878426021,10894.487029291979
micro_k1p5_imb1_thr0p25,HYDROGEL_PACK,1.5,1.0,0.25,29997,961,0.03203333333333333,0.30158453514340944,0.9737373737373738,0.9739854318418314,7027.283491197373
micro_k1p5_imb1_thr0p25,VELVETFRUIT_EXTRACT,1.5,1.0,0.25,29997,17496,0.5832333333333334,0.2309406282629391,0.4961332878426021,0.4942272519433013,10894.487029291979
micro_k1p5_imb1_thr0p5,HYDROGEL_PACK,1.5,1.0,0.5,29997,912,0.0304,0.30158453514340944,0.9737373737373738,0.9725877192982456,7027.283491197373
micro_k1p5_imb1_thr0p5,VELVETFRUIT_EXTRACT,1.5,1.0,0.5,29997,17267,0.5756,0.2309406282629391,0.4961332878426021,0.4889094805119592,10894.487029291979
micro_k1p5_imb1p25_thr0,HYDROGEL_PACK,1.5,1.25,0.0,29997,29997,1.0,0.3026418592282091,0.9737373737373738,0.9737373737373738,7113.485856266242
micro_k1p5_imb1p25_thr0,VELVETFRUIT_EXTRACT,1.5,1.25,0.0,29997,29997,1.0,0.2319224209457444,0.4961332878426021,0.4961332878426021,10948.691011836174
micro_k1p5_imb1p25_thr0p25,HYDROGEL_PACK,1.5,1.25,0.25,29997,961,0.03203333333333333,0.3026418592282091,0.9737373737373738,0.9739854318418314,7113.485856266242
micro_k1p5_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,1.5,1.25,0.25,29997,17518,0.5839666666666666,0.2319224209457444,0.4961332878426021,0.4946911747916429,10948.691011836174
micro_k1p5_imb1p25_thr0p5,HYDROGEL_PACK,1.5,1.25,0.5,29997,914,0.030466666666666666,0.3026418592282091,0.9737373737373738,0.9726477024070022,7113.485856266242
micro_k1p5_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,1.5,1.25,0.5,29997,17284,0.5761666666666667,0.2319224209457444,0.4961332878426021,0.48918074519787086,10948.691011836174
micro_k1p75_imb0p75_thr0,HYDROGEL_PACK,1.75,0.75,0.0,29997,29997,1.0,0.30001393039856383,0.9737373737373738,0.9737373737373738,8054.826797948819
micro_k1p75_imb0p75_thr0,VELVETFRUIT_EXTRACT,1.75,0.75,0.0,29997,29997,1.0,0.22953070086199462,0.4961332878426021,0.4961332878426021,12619.894896600319
micro_k1p75_imb0p75_thr0p25,HYDROGEL_PACK,1.75,0.75,0.25,29997,961,0.03203333333333333,0.30001393039856383,0.9737373737373738,0.9739854318418314,8054.826797948819
micro_k1p75_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,1.75,0.75,0.25,29997,17498,0.5833,0.22953070086199462,0.4961332878426021,0.4942850611498457,12619.894896600319
micro_k1p75_imb0p75_thr0p5,HYDROGEL_PACK,1.75,0.75,0.5,29997,914,0.030466666666666666,0.30001393039856383,0.9737373737373738,0.9726477024070022,8054.826797948819
micro_k1p75_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,1.75,0.75,0.5,29997,17298,0.5766333333333333,0.22953070086199462,0.4961332878426021,0.48936293213088217,12619.894896600319
micro_k1p75_imb1_thr0,HYDROGEL_PACK,1.75,1.0,0.0,29997,29997,1.0,0.30096493181140643,0.9737373737373738,0.9737373737373738,8141.02916301769
micro_k1p75_imb1_thr0,VELVETFRUIT_EXTRACT,1.75,1.0,0.0,29997,29997,1.0,0.23037769453891557,0.4961332878426021,0.4961332878426021,12674.098879144512
micro_k1p75_imb1_thr0p25,HYDROGEL_PACK,1.75,1.0,0.25,29997,961,0.03203333333333333,0.30096493181140643,0.9737373737373738,0.9739854318418314,8141.02916301769
micro_k1p75_imb1_thr0p25,VELVETFRUIT_EXTRACT,1.75,1.0,0.25,29997,17515,0.5838666666666666,0.23037769453891557,0.4961332878426021,0.4946046246074793,12674.098879144512
micro_k1p75_imb1_thr0p5,HYDROGEL_PACK,1.75,1.0,0.5,29997,921,0.0307,0.30096493181140643,0.9737373737373738,0.9728555917480999,8141.02916301769
micro_k1p75_imb1_thr0p5,VELVETFRUIT_EXTRACT,1.75,1.0,0.5,29997,17314,0.5771666666666667,0.23037769453891557,0.4961332878426021,0.4897193022987178,12674.098879144512
micro_k1p75_imb1p25_thr0,HYDROGEL_PACK,1.75,1.25,0.0,29997,29997,1.0,0.30189009867223277,0.9737373737373738,0.9737373737373738,8227.231528086559
micro_k1p75_imb1p25_thr0,VELVETFRUIT_EXTRACT,1.75,1.25,0.0,29997,29997,1.0,0.23122157501083163,0.4961332878426021,0.4961332878426021,12728.302861688706
micro_k1p75_imb1p25_thr0p25,HYDROGEL_PACK,1.75,1.25,0.25,29997,961,0.03203333333333333,0.30189009867223277,0.9737373737373738,0.9739854318418314,8227.231528086559
micro_k1p75_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,1.75,1.25,0.25,29997,17541,0.5847333333333333,0.23122157501083163,0.4961332878426021,0.49512570548999485,12728.302861688706
micro_k1p75_imb1p25_thr0p5,HYDROGEL_PACK,1.75,1.25,0.5,29997,940,0.03133333333333333,0.30189009867223277,0.9737373737373738,0.973404255319149,8227.231528086559
micro_k1p75_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,1.75,1.25,0.5,29997,17333,0.5778,0.23122157501083163,0.4961332878426021,0.4902209657878036,12728.302861688706
