leader,follower,h,days,n,corr_mean,corr_min,corr_max,edge_mean,edge_min,edge_max,same_sign_corr,same_sign_edge,score
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ASTRO_BLACK,50,3,727,-0.036899117290670636,-0.10397468013840523,0.0010654642866347562,-6.306704500185705,-19.810504201680672,1.7235364875701684,False,False,2.002708701927723
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_PLANETARY_RINGS,50,3,727,0.036592660253933096,-0.019474311952130296,0.12152818746895723,6.30538032493336,-9.939955894145951,26.130313828457112,False,False,2.0013920782418073
SLEEP_POD_POLYESTER,SLEEP_POD_POLYESTER,50,3,727,-0.047463149795542385,-0.12330031245720598,-0.00482012812870238,-6.157956144287514,-13.620998999749938,-0.8881207028265852,True,True,1.9897762926728813
SNACKPACK_RASPBERRY,SNACKPACK_RASPBERRY,50,3,727,-0.05310160633448913,-0.07856623734935778,-0.02799013370447623,-6.093968247315028,-13.386745607333843,-2.1724472066292435,True,True,1.9874952931979757
ROBOT_IRONING,ROBOT_IRONING,100,3,722,0.02936302240365839,-0.06730190961322859,0.18082100109034044,6.314663654685771,-4.556325604838708,27.217870257037944,False,False,1.9824881636167064
UV_VISOR_ORANGE,UV_VISOR_ORANGE,50,3,727,-0.03848855679132431,-0.06353379925514492,-0.021662308177631366,-6.166747546573778,-13.293671478214382,1.185026737967914,True,False,1.9654899343461065
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MINT,200,3,712,0.01086494209149219,-0.06087011335061911,0.11784663812075456,6.354824633951708,-15.50108862704918,46.95966551893753,False,False,1.9390422164599888
PEBBLES_XS,PEBBLES_XS,50,3,641,0.02724411927951158,-0.013071555703775568,0.06906464408399016,6.127405106651945,-5.821152703505645,18.874460819554276,False,False,1.919953889834118
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_CHOCOLATE,20,3,730,0.058953288325130394,0.022520350401913147,0.0857924190110417,5.681305346912558,4.294106699751861,6.956837606837607,True,True,1.8812514690491586
MICROCHIP_RECTANGLE,MICROCHIP_RECTANGLE,20,3,568,0.06427119134309489,-0.0033794803927280777,0.11015312607314723,5.512112801361108,-0.24149797570850184,9.837772277227723,False,False,1.8464474144376173
SNACKPACK_PISTACHIO,SNACKPACK_PISTACHIO,100,3,722,0.048993990169305314,0.009926292323035385,0.10540737270618486,5.63154913904314,-0.19012647898816848,9.801003734827265,True,False,1.8364467122208579
UV_VISOR_RED,UV_VISOR_RED,20,3,730,0.04309580159834738,0.010295228666076073,0.0699021629560131,5.64029063564168,0.4996277915632754,10.086752136752137,True,True,1.8213745954875462
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ASTRO_BLACK,500,3,688,-0.01961302097680086,-0.06279056237602823,0.01024991049594931,-5.792595459411015,-23.622938986399213,5.234786754507628,False,False,1.796617700753707
ROBOT_DISHES,ROBOT_DISHES,100,3,722,0.004367313826435901,-0.07648701936999068,0.05845034854383296,5.764721662116616,-10.15070564516129,20.60613134142546,False,False,1.7425184401142926
ROBOT_VACUUMING,ROBOT_VACUUMING,200,3,712,0.007250427110451642,-0.06685408217953374,0.10827124714323641,5.6857071834600985,-7.208610188261352,28.119855714051482,False,False,1.7274634363693844
