name,mw,i1w,i3w,total,d1,d2,d3,rc,path
mw1p5_i1m0p25_i3m0p25,1.5,-0.25,-0.25,733964.0,264169.0,204533.0,265262.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i1m0p25_i3m0p25.py
i3_0p25,0,0,0.25,733899.0,261557.0,205393.0,266949.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_0p25.py
mw1_i10p25_i3m0p5,1,0.25,-0.5,733567.0,284077.0,194909.0,254581.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1_i10p25_i3m0p5.py
mw1p5_i10_i30p5,1.5,0,0.5,733529.0,268843.0,202102.0,262584.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i10_i30p5.py
mw1p5_i10_i3m0p5,1.5,0,-0.5,733420.0,268989.0,201460.0,262971.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i10_i3m0p5.py
mw1p5_i10_i3m0p25,1.5,0,-0.25,733318.0,269075.0,201460.0,262783.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i10_i3m0p25.py
i3_1,0,0,1,733188.0,261473.0,205646.0,266069.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_1.py
i3_0p5,0,0,0.5,732909.0,261363.0,205411.0,266135.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_0p5.py
i3_0p75,0,0,0.75,732803.0,261287.0,205405.0,266111.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_0p75.py
mw1p5_i1m0p25_i30p25,1.5,-0.25,0.25,732401.0,263176.0,204138.0,265087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i1m0p25_i30p25.py
mw1p5_i1m0p25_i30p5,1.5,-0.25,0.5,732101.0,263026.0,204132.0,264943.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i1m0p25_i30p5.py
i3_1p5,0,0,1.5,731904.0,260745.0,205591.0,265568.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_1p5.py
mw1p5_i10p25_i30p5,1.5,0.25,0.5,730718.0,287003.0,193109.0,250606.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i10p25_i30p5.py
mw1p5_i10p25_i30p25,1.5,0.25,0.25,730280.0,286920.0,192905.0,250455.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i10p25_i30p25.py
mw1p5_i10p25_i3m0p5,1.5,0.25,-0.5,728083.0,286288.0,192647.0,249148.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i10p25_i3m0p5.py
mw1p5_i10p25_i3m0p25,1.5,0.25,-0.25,727761.0,286018.0,192393.0,249350.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i10p25_i3m0p25.py
