sym,i1,i3,total,d1,d2,d3,rc,path
VEV_4500,0,-1.5,741554.0,273376.0,203758.0,264420.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10_i3m1p5.py
VEV_5400,0,0.5,741552.0,273152.0,204247.0,264153.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i10_i30p5.py
VEV_5300,0,-2.0,741541.0,273052.0,204362.0,264127.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i10_i3m2p0.py
VEV_5300,0,-1.5,741541.0,273052.0,204362.0,264127.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i10_i3m1p5.py
VEV_5400,0,-0.5,741529.0,273169.0,204238.0,264122.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i10_i3m0p5.py
VEV_5400,0,1.0,741529.0,273135.0,204241.0,264153.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i10_i31p0.py
VEV_5400,0,-1.0,741520.0,273169.0,204238.0,264113.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i10_i3m1p0.py
VEV_5400,0,-1.5,741477.0,273169.0,204195.0,264113.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i10_i3m1p5.py
VEV_5400,0,-2.0,741452.0,273169.0,204170.0,264113.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i10_i3m2p0.py
HYDROGEL_PACK,-0.25,-0.5,741368.0,273033.0,203926.0,264409.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i1m0p25_i3m0p5.py
VEV_4500,0,-2.0,741358.0,273246.0,203758.0,264354.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10_i3m2p0.py
HYDROGEL_PACK,-0.5,-1.5,741355.0,273020.0,203926.0,264409.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i1m0p5_i3m1p5.py
VEV_4500,0,1.0,741333.0,273165.0,204049.0,264119.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10_i31p0.py
VEV_4500,-0.25,-1.5,741306.0,272995.0,203926.0,264385.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i1m0p25_i3m1p5.py
VEV_4500,0.25,1.0,741297.0,273529.0,203816.0,263952.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10p25_i31p0.py
VEV_4000,-0.5,-1.5,741239.0,273062.0,203943.0,264234.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p5_i3m1p5.py
VEV_4500,0,-1.0,741227.0,273240.0,203758.0,264229.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10_i3m1p0.py
VEV_5200,0,-2.0,741227.0,273673.0,203652.0,263902.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i10_i3m2p0.py
VEV_4500,-0.25,-2.0,741225.0,272904.0,203868.0,264453.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i1m0p25_i3m2p0.py
VEV_5300,-0.25,-2.0,741221.0,273033.0,204101.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i1m0p25_i3m2p0.py
HYDROGEL_PACK,-0.5,-1.0,741203.0,273020.0,203876.0,264307.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i1m0p5_i3m1p0.py
VEV_4000,-0.5,-2.0,741191.0,273059.0,203943.0,264189.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p5_i3m2p0.py
VEV_4500,0.25,0,741191.0,273325.0,203758.0,264108.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10p25_i30.py
VEV_4000,-0.5,0,741170.0,273107.0,203952.0,264111.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p5_i30.py
VEV_5200,0,-1.5,741169.0,273615.0,203652.0,263902.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i10_i3m1p5.py
VEV_5200,0,-1.0,741169.0,273615.0,203652.0,263902.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i10_i3m1p0.py
VEV_5200,0,-0.5,741169.0,273615.0,203652.0,263902.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i10_i3m0p5.py
VEV_5200,0,0,741169.0,273615.0,203652.0,263902.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i10_i30.py
VEV_5200,0,0.5,741169.0,273615.0,203652.0,263902.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i10_i30p5.py
VEV_5200,0,1.0,741169.0,273615.0,203652.0,263902.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i10_i31p0.py
VEV_4000,-0.5,0.5,741166.0,273076.0,204028.0,264062.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p5_i30p5.py
VEV_4000,-0.5,-1.0,741158.0,273134.0,203943.0,264081.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p5_i3m1p0.py
VEV_4500,-0.25,0,741155.0,273148.0,203926.0,264081.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i1m0p25_i30.py
HYDROGEL_PACK,0,-0.5,741147.0,273033.0,203981.0,264133.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i10_i3m0p5.py
VEV_4500,-0.25,-0.5,741143.0,273098.0,203926.0,264119.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i1m0p25_i3m0p5.py
VEV_5400,-0.25,0,741141.0,273033.0,203986.0,264122.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i1m0p25_i30.py
VEV_5400,-0.25,0.5,741132.0,273016.0,203986.0,264130.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i1m0p25_i30p5.py
VEV_5200,-0.25,-1.5,741131.0,273033.0,204011.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i1m0p25_i3m1p5.py
VEV_4000,-0.75,-2.0,741126.0,273000.0,203922.0,264204.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p75_i3m2p0.py
VEV_4500,-0.25,0.5,741118.0,273283.0,204049.0,263786.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i1m0p25_i30p5.py
VEV_5200,-0.25,-2.0,741116.0,273033.0,204011.0,264072.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i1m0p25_i3m2p0.py
VEV_4500,0.25,0.5,741113.0,273455.0,203816.0,263842.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10p25_i30p5.py
VEV_5400,-0.25,-0.5,741106.0,273033.0,203986.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i1m0p25_i3m0p5.py
HYDROGEL_PACK,0.25,0.5,741098.0,272995.0,203981.0,264122.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i10p25_i30p5.py
VEV_4000,-0.5,-0.5,741089.0,273086.0,203917.0,264086.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p5_i3m0p5.py
HYDROGEL_PACK,-0.25,-1.5,741085.0,272985.0,203926.0,264174.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i1m0p25_i3m1p5.py
VEV_4000,-0.25,1.0,741083.0,273143.0,203956.0,263984.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p25_i31p0.py
VEV_5200,-0.25,0,741078.0,273033.0,203973.0,264072.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i1m0p25_i30.py
VEV_5200,-0.25,0.5,741078.0,273033.0,203973.0,264072.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i1m0p25_i30p5.py
VEV_5200,-0.25,1.0,741076.0,273031.0,203973.0,264072.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i1m0p25_i31p0.py
VEV_5000,-0.25,-1.5,741074.0,273061.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5000_i1m0p25_i3m1p5.py
HYDROGEL_PACK,0.25,1.0,741073.0,273033.0,203759.0,264281.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i10p25_i31p0.py
VEV_4000,-0.25,-1.5,741062.0,273033.0,203926.0,264103.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p25_i3m1p5.py
VEV_4000,0,0,741055.0,273240.0,203756.0,264059.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i10_i30.py
VEV_5400,-0.25,1.0,741047.0,272999.0,203918.0,264130.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i1m0p25_i31p0.py
HYDROGEL_PACK,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i1m0p25_i3m1p0.py
VELVETFRUIT_EXTRACT,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VELVETFRUITEXTRACT_i1m0p25_i3m1p0.py
VEV_4000,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4000_i1m0p25_i3m1p0.py
VEV_4500,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i1m0p25_i3m1p0.py
VEV_5000,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5000_i1m0p25_i3m1p0.py
VEV_5100,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p25_i3m1p0.py
