product,k_micro,k_imbalance,threshold,active_rate,corr,hit_rate,proxy_pnl,mean_abs_signal
HYDROGEL_PACK,1.5,0.25,0.05,0.03203333333333333,0.2980293895054382,0.9739854318418314,6765.142870077082,0.05645658314769413
HYDROGEL_PACK,1.5,0.25,0.1,0.03203333333333333,0.2980293895054382,0.9739854318418314,6765.142870077082,0.05645658314769413
HYDROGEL_PACK,1.5,0.25,0.15,0.03203333333333333,0.2980293895054382,0.9739854318418314,6765.142870077082,0.05645658314769413
HYDROGEL_PACK,1.5,0.25,0.2,0.03203333333333333,0.2980293895054382,0.9739854318418314,6765.142870077082,0.05645658314769413
HYDROGEL_PACK,1.5,0.5,0.0,1.0,0.299348170463902,0.9737373737373738,6854.878761059221,0.05716713103666571
HYDROGEL_PACK,1.5,0.5,0.05,0.033,0.299348170463902,0.9737373737373738,6854.878761059221,0.05716713103666571
HYDROGEL_PACK,1.5,0.5,0.1,0.03203333333333333,0.2990442197217683,0.9739854318418314,6847.811709232352,0.05716713103666571
HYDROGEL_PACK,1.5,0.5,0.15,0.03203333333333333,0.2990442197217683,0.9739854318418314,6847.811709232352,0.05716713103666571
HYDROGEL_PACK,1.5,0.5,0.2,0.03203333333333333,0.2990442197217683,0.9739854318418314,6847.811709232352,0.05716713103666571
HYDROGEL_PACK,1.5,0.75,0.0,1.0,0.30047560711866805,0.9737373737373738,6941.081126128546,0.05787767892564213
HYDROGEL_PACK,1.5,0.75,0.05,0.033,0.30047560711866805,0.9737373737373738,6941.081126128546,0.05787767892564213
HYDROGEL_PACK,1.5,0.75,0.1,0.03233333333333333,0.3001735584531723,0.9731958762886598,6933.954647487353,0.05787767892564213
HYDROGEL_PACK,1.5,0.75,0.15,0.03203333333333333,0.3000270568545677,0.9739854318418314,6930.480548388254,0.05787767892564213
HYDROGEL_PACK,1.5,0.75,0.2,0.03203333333333333,0.3000270568545677,0.9739854318418314,6930.480548388254,0.05787767892564213
HYDROGEL_PACK,1.5,1.0,0.0,1.0,0.3015673788017699,0.9737373737373738,7027.283491198174,0.05858822681462055
HYDROGEL_PACK,1.5,1.0,0.05,0.033,0.3015673788017699,0.9737373737373738,7027.283491198174,0.05858822681462055
HYDROGEL_PACK,1.5,1.0,0.1,0.033,0.3015673788017699,0.9737373737373738,7027.283491198174,0.05858822681462055
HYDROGEL_PACK,1.5,1.0,0.15,0.03203333333333333,0.3009789574249306,0.9739854318418314,7013.1493875445,0.05858822681462055
HYDROGEL_PACK,1.5,1.0,0.2,0.03203333333333333,0.3009789574249306,0.9739854318418314,7013.1493875445,0.05858822681462055
VELVETFRUIT_EXTRACT,0.25,0.0,0.0,1.0,0.22695721761640744,0.4960464190226975,1779.6118498524365,0.17285728481107404
VELVETFRUIT_EXTRACT,0.25,0.0,0.05,0.5794,0.225691683643373,0.4914561877912663,1769.570150628012,0.17285728481107404
VELVETFRUIT_EXTRACT,0.25,0.0,0.1,0.5701,0.22218619171390153,0.4853233539936849,1741.1855886362005,0.17285728481107404
VELVETFRUIT_EXTRACT,0.25,0.0,0.15,0.5562,0.2146217442539092,0.47671561282589153,1678.33408756791,0.17285728481107404
VELVETFRUIT_EXTRACT,0.25,0.0,0.2,0.5383666666666667,0.19877398159909507,0.4648297213622291,1545.9120509665609,0.17285728481107404
VELVETFRUIT_EXTRACT,0.25,0.25,0.0,1.0,0.2328855905044123,0.4961332878426021,1833.8158323964112,0.1741492630232422
VELVETFRUIT_EXTRACT,0.25,0.25,0.05,0.5831,0.23208417620099475,0.4941115938714841,1827.4015468761822,0.1741492630232422
VELVETFRUIT_EXTRACT,0.25,0.25,0.1,0.5738,0.22826914053108785,0.48806134898042175,1796.448005006986,0.1741492630232422
VELVETFRUIT_EXTRACT,0.25,0.25,0.15,0.5605,0.22046565773424423,0.4788271678363269,1731.4845719146138,0.1741492630232422
VELVETFRUIT_EXTRACT,0.25,0.25,0.2,0.5459666666666667,0.20911412777611357,0.4706313347173037,1635.1213426959862,0.1741492630232422
VELVETFRUIT_EXTRACT,0.25,0.5,0.0,1.0,0.23865956669055607,0.49601956101444333,1888.0198149409634,0.1754474130639165
VELVETFRUIT_EXTRACT,0.25,0.5,0.05,0.5861666666666666,0.23866322656498892,0.4960759781619654,1888.048210168879,0.1754474130639165
VELVETFRUIT_EXTRACT,0.25,0.5,0.1,0.5775333333333333,0.23428111452252393,0.4901587301587302,1852.3786205308738,0.1754474130639165
VELVETFRUIT_EXTRACT,0.25,0.5,0.15,0.5648,0.22633801894857986,0.48131971905801807,1785.9984309941624,0.1754474130639165
VELVETFRUIT_EXTRACT,0.25,0.5,0.2,0.5534,0.22015074693389405,0.47593518462743206,1731.7886259805719,0.1754474130639165
VELVETFRUIT_EXTRACT,0.25,0.75,0.0,1.0,0.24427519128123368,0.49601956101444333,1942.2237974851291,0.1767492215686418
VELVETFRUIT_EXTRACT,0.25,0.75,0.05,0.5862,0.24429051402712082,0.49604776798407735,1942.344079044536,0.1767492215686418
VELVETFRUIT_EXTRACT,0.25,0.75,0.1,0.5828333333333333,0.24241841181861168,0.4937657286662091,1926.9233653599272,0.1767492215686418
VELVETFRUIT_EXTRACT,0.25,0.75,0.15,0.5706666666666667,0.2342791864053433,0.4856007944389275,1858.8787987052383,0.1767492215686418
VELVETFRUIT_EXTRACT,0.25,0.75,0.2,0.5555666666666667,0.22407502763324513,0.47635905436217446,1770.5381915185358,0.1767492215686418
VELVETFRUIT_EXTRACT,0.25,1.0,0.0,1.0,0.24972923691908747,0.49601956101444333,1996.427780029263,0.17805103007336673
VELVETFRUIT_EXTRACT,0.25,1.0,0.05,0.5862333333333334,0.24972923691908747,0.49601956101444333,1996.427780029263,0.17805103007336673
VELVETFRUIT_EXTRACT,0.25,1.0,0.1,0.5862,0.24975809540516858,0.49604776798407735,1996.6532596084708,0.17805103007336673
VELVETFRUIT_EXTRACT,0.25,1.0,0.15,0.576,0.24199917740042418,0.48897505642687655,1931.5550515226428,0.17805103007336673
VELVETFRUIT_EXTRACT,0.25,1.0,0.2,0.5582333333333334,0.22816340894672826,0.47683028782992953,1811.8518144743666,0.17805103007336673
VELVETFRUIT_EXTRACT,0.5,0.0,0.0,1.0,0.22695721761642004,0.4960464190226975,3559.2236997050118,0.3457145696221479
VELVETFRUIT_EXTRACT,0.5,0.0,0.05,0.5835,0.22671237753697043,0.4942870201096892,3555.3557177819494,0.3457145696221479
VELVETFRUIT_EXTRACT,0.5,0.0,0.1,0.5794,0.22569168364338277,0.4914561877912663,3539.1403012561136,0.3457145696221479
VELVETFRUIT_EXTRACT,0.5,0.0,0.15,0.5748666666666666,0.22427759215039575,0.48872136851261233,3516.403661412123,0.3457145696221479
VELVETFRUIT_EXTRACT,0.5,0.0,0.2,0.5698333333333333,0.22208359471540054,0.48514098514098514,3480.6711772725025,0.3457145696221479
VELVETFRUIT_EXTRACT,0.5,0.25,0.0,1.0,0.2299404278676618,0.4961332878426021,3613.4276822489865,0.3470038626491308
VELVETFRUIT_EXTRACT,0.5,0.25,0.05,0.5855333333333334,0.22984567134220799,0.4957016794762311,3611.929781149652,0.3470038626491308
VELVETFRUIT_EXTRACT,0.5,0.25,0.1,0.5809333333333333,0.2287343344263639,0.49256900212314225,3594.2081762622965,0.3470038626491308
VELVETFRUIT_EXTRACT,0.5,0.25,0.15,0.5762666666666667,0.22690644476640612,0.4892115462486261,3564.8549873412826,0.3470038626491308
VELVETFRUIT_EXTRACT,0.5,0.25,0.2,0.5718333333333333,0.2252129274990119,0.48653375306051067,3537.0571745313496,0.3470038626491308
VELVETFRUIT_EXTRACT,0.5,0.5,0.0,1.0,0.23288559050445568,0.4961332878426021,3667.6316647935387,0.34829852604649797
VELVETFRUIT_EXTRACT,0.5,0.5,0.05,0.5861333333333333,0.23288696234787604,0.4961041915486549,3667.6521193389954,0.34829852604649797
VELVETFRUIT_EXTRACT,0.5,0.5,0.1,0.5831,0.23208417620103738,0.4941115938714841,3654.80309375307,0.34829852604649797
VELVETFRUIT_EXTRACT,0.5,0.5,0.15,0.5782,0.23004518920211114,0.4905736523493802,3621.999571582109,0.34829852604649797
VELVETFRUIT_EXTRACT,0.5,0.5,0.2,0.5738,0.22826914053112254,0.48806134898042175,3592.8960100145446,0.34829852604649797
VELVETFRUIT_EXTRACT,0.5,0.75,0.0,1.0,0.23579214251012254,0.4960764244285227,3721.8356473377044,0.3495950184481843
VELVETFRUIT_EXTRACT,0.5,0.75,0.05,0.5861666666666666,0.23578764806545233,0.4960759781619654,3721.7645125010076,0.3495950184481843
VELVETFRUIT_EXTRACT,0.5,0.75,0.1,0.5857333333333333,0.23566046248904815,0.4958169711456377,3719.7238044194237,0.3495950184481843
VELVETFRUIT_EXTRACT,0.5,0.75,0.15,0.5800333333333333,0.23332671359895701,0.49189655172413793,3682.0283513346394,0.3495950184481843
VELVETFRUIT_EXTRACT,0.5,0.75,0.2,0.5757666666666666,0.23113143496125493,0.4888837424733673,3646.265152022895,0.3495950184481843
VELVETFRUIT_EXTRACT,0.5,1.0,0.0,1.0,0.23865956669055616,0.49601956101444333,3776.039629881838,0.3508948261278268
VELVETFRUIT_EXTRACT,0.5,1.0,0.05,0.5862,0.23866147891285944,0.49604776798407735,3776.069796961046,0.3508948261278268
